ordered_rank,solver_index,dof_index,component_real,component_imag
1,0,0,-0.06361623277821413,0
1,0,1,0.02151612053002771,0
1,0,2,-0.03342934311686244,0
1,0,3,-0.1258930231601364,0
1,0,4,0.06191228174849684,0
1,0,5,-0.1192955865787668,0
1,0,6,-0.2101065933968979,0
1,0,7,0.10577849776276,0
1,0,8,-0.2305251133678452,0
1,0,9,-0.2885243854317892,0
1,0,10,0.1631830401434063,0
1,0,11,-0.371519653325506,0
1,0,12,-0.3049209986612703,0
1,0,13,0.212620994086454,0
1,0,14,-0.5120936736538869,0
1,0,15,-0.2420275287887478,0
1,0,16,0.1974302402898141,0
1,0,17,-0.5138525070218375,0
1,0,18,-0.140869727781721,0
1,0,19,0.1405886807427668,0
1,0,20,-0.3881217086756008,0
1,0,21,-0.0532572644462016,0
1,0,22,0.07262909663075215,0
1,0,23,-0.2107192156905782,0
1,0,24,-0.009858430650950455,0
1,0,25,0.02291597293734426,0
1,0,26,-0.06801231069086706,0
1,0,27,0.00290906059237997,0
1,0,28,-0.005015612976493923,0
1,0,29,-0.07795576080099537,0
1,0,30,0.02788455231992946,0
1,0,31,-0.01670813266601791,0
1,0,32,-0.1983365150876838,0
1,0,33,0.09477950130627549,0
1,0,34,-0.09712879625788336,0
1,0,35,-0.3723409338750775,0
1,0,36,0.192327280191656,0
1,0,37,-0.230197360592942,0
1,0,38,-0.6124315357072936,0
1,0,39,0.3387938264014478,0
1,0,40,-0.4254670941122436,0
1,0,41,-0.7918496029800188,0
1,0,42,0.5153635175203783,0
1,0,43,-0.700508464679922,0
1,0,44,-0.7685003017219068,0
1,0,45,0.5707184809766467,0
1,0,46,-0.8590531003691684,0
1,0,47,-0.5695190755338676,0
1,0,48,0.491479146143897,0
1,0,49,-0.8010005123290193,0
1,0,50,-0.2947941185866059,0
1,0,51,0.3182866349371955,0
1,0,52,-0.5635312727161695,0
1,0,53,-0.08278728209893393,0
1,0,54,0.1371906696694409,0
1,0,55,-0.257474749302609,0
1,0,56,0.02789259995877874,0
1,0,57,-0.04139413688273577,0
1,0,58,-0.04104670250995265,0
1,0,59,0.01472594858997445,0
1,0,60,-0.003629782157086646,0
1,0,61,-0.1338552242399015,0
1,0,62,0.05987724839401801,0
1,0,63,-0.04210431899546711,0
1,0,64,-0.2925988241852123,0
1,0,65,0.1452723750324888,0
1,0,66,-0.1266627651528253,0
1,0,67,-0.5568670350944003,0
1,0,68,0.29372189000646,0
1,0,69,-0.2706219573609301,0
1,0,70,-0.8573894748773829,0
1,0,71,0.5195646761273908,0
1,0,72,-0.5236444415514041,0
1,0,73,-1,0
1,0,74,0.6798095112164509,0
1,0,75,-0.7694640117410954,0
1,0,76,-0.9100309650632835,0
1,0,77,0.7014841300694962,0
1,0,78,-0.8656158973972194,0
1,0,79,-0.6108322531043282,0
1,0,80,0.5594474959330468,0
1,0,81,-0.7618315991813636,0
1,0,82,-0.2377697248233749,0
1,0,83,0.3110266705141898,0
1,0,84,-0.4688592718048732,0
1,0,85,0.08263613489428544,0
1,0,86,-0.1159293721056843,0
1,0,87,-0.01295895900138296,0
1,0,88,0.004548785362174558,0
1,0,89,0.0005873304353773804,0
1,0,90,-0.05315731431357655,0
1,0,91,0.02143490643364068,0
