cell_id,xc_m,yc_m,Ex,Ey,Emag
0,0.06666666666666667,0.03,0.001510010625062134,-0.006853950582024453,0.00701831679739764
1,0.03333333333333333,0.06,0.0001655760277055385,-0.001841172389668488,0.001848602496327514
2,0.1666666666666667,0.03,1.007763565203005e-05,-0.01215067042076498,0.01215067459990569
3,0.1333333333333333,0.06,-0.002113998001505001,-0.009155564585979756,0.009396454141771447
4,0.2666666666666667,0.03,-0.0004273500280598367,-0.4058896373670989,0.4058898623395779
5,0.2333333333333333,0.06,-0.356110188866424,-0.0116615921302362,0.356301079629984
6,0.3666666666666667,0.03,-0.0003097415367018642,-0.7260119195876552,0.7260119856608233
7,0.3333333333333333,0.06,-0.2898063218996201,-0.405054006891668,0.4980526605811695
8,0.4666666666666666,0.03,-0.0002275383146429053,-0.9324165252962622,0.9324165530594359
9,0.4333333333333333,0.06,-0.1870058149254057,-0.725402844757058,0.749119791487014
10,0.5666666666666668,0.03,-0.0001666718890618513,-0.9967169894226467,0.9967170033581564
11,0.5333333333333333,0.06,-0.05878190081878529,-0.9319689266065075,0.933820856494411
12,0.6666666666666666,0.03,-0.0001200948656484192,-0.9105406962726662,0.9105407041925629
13,0.6333333333333333,0.06,0.07689787844461361,-0.9963907296736835,0.9993536760771624
14,0.7666666666666666,0.03,-8.519995317213013e-05,-0.6882325571058593,0.688232562379536
15,0.7333333333333334,0.06,0.1996069898894163,-0.9103073460948805,0.931934769587989
16,0.8666666666666667,0.03,-6.194030859507582e-05,-0.3661087704145599,0.366108775654262
17,0.8333333333333334,0.06,0.2895749449957545,-0.6880671224600833,0.7465185957360965
18,0.9666666666666667,0.03,-5.11953701772105e-05,-5.688374464134499e-05,7.652925147943993e-05
19,0.9333333333333332,0.06,0.3291840883390366,-0.3659853486189317,0.4922473356142455
20,0.06666666666666667,0.12,0.002913398503741277,-0.004080100307208176,0.005013492730470661
21,0.03333333333333333,0.15,0.002224840127316107,-0.001051535874848938,0.002460821262954763
22,0.1666666666666667,0.12,-0.001485876504780149,-0.007595762090246367,0.007739730661921095
23,0.1333333333333333,0.15,-0.002743049244765062,-0.005708439569350591,0.006333293098865213
24,0.2666666666666667,0.12,-0.3568468966509035,-0.2358491596288102,0.4277435373526952
25,0.2333333333333333,0.15,-0.5629653583002381,-0.007408392835219462,0.5630141018931198
26,0.3666666666666667,0.12,-0.2903449468048757,-0.4338098953859678,0.5220069094082093
27,0.3333333333333333,0.15,-0.4693699896893532,-0.2353308635816103,0.5250607608411145
28,0.4666666666666666,0.12,-0.1874044810352585,-0.5678323282044128,0.5979581862188513
29,0.4333333333333333,0.15,-0.3086738171899668,-0.4334194432612353,0.5321014369605708
30,0.5666666666666668,0.12,-0.05907546527957116,-0.6165097444493428,0.6193336545021526
31,0.5333333333333333,0.15,-0.1033700874181925,-0.5675395927252176,0.5768765589652179
32,0.6666666666666666,0.12,0.07668665185317686,-0.5720480107047828,0.5771652875249427
33,0.6333333333333333,0.15,0.1163513092778381,-0.616295909897309,0.6271828088578474
34,0.7666666666666666,0.12,0.1994595887785136,-0.4406900959652529,0.4837270803227348
35,0.7333333333333334,0.15,0.3174403089943627,-0.5718990179605521,0.6540923761355734
36,0.8666666666666667,0.12,0.2894722927017349,-0.241130867739408,0.3767470021363922
37,0.8333333333333334,0.15,0.4689163871924422,-0.4405913567079728,0.6434308989964536
38,0.9666666666666667,0.12,0.3291047025822316,-3.360716592751939e-05,0.3291047042981621
39,0.9333333333333332,0.15,0.5459815253834098,-0.241064519777401,0.5968315748647217
40,0.06666666666666667,0.21,0.003414111248330093,0.0002043114835773199,0.003420219115538598
41,0.03333333333333333,0.24,0.003547448376049465,0.0001630178006389772,0.0035511920229778
42,0.1666666666666667,0.21,-0.002285683532051505,-0.0001611351646162381,0.002291356312310974
43,0.1333333333333333,0.24,-0.00224221545343045,-9.159473504807849e-05,0.002244085500842346
44,0.2666666666666667,0.21,-0.5632400738994934,0.01365430725464734,0.5634055563738354
45,0.2333333333333333,0.24,-0.5506436345685187,-0.0003192310575388995,0.5506437271042833
46,0.3666666666666667,0.21,-0.4695909534077647,0.01436781470550868,0.4698107040307035
47,0.3333333333333333,0.24,-0.4689741962690904,0.01366755522982601,0.4691733142797016
48,0.4666666666666666,0.21,-0.3088485686889677,0.008517282163576558,0.3089659891908461
49,0.4333333333333333,0.24,-0.3141722624957996,0.01440221436673479,0.3145022007878402
50,0.5666666666666668,0.21,-0.1035026311219114,-9.634674969993583e-05,0.1035026759647046
51,0.5333333333333333,0.24,-0.1113154758815314,0.008555342584898972,0.111643759599347
