cell_id,xc_m,yc_m,Ex,Ey,Emag
0,0.06666666666666667,0.03,0.1053282058042067,0.1196262133811299,0.1593877720085231
1,0.03333333333333333,0.06,0.5151535725872886,-0.1093519827421436,0.5266318063686287
2,0.1666666666666667,0.03,0.1057550918114833,0.1172769642949179,0.1579177817672434
3,0.1333333333333333,0.06,0.5124671451677888,-0.1072623930225478,0.5235721495967361
4,0.2666666666666667,0.03,0.105945384270718,0.1121907354705118,0.1543087345994531
5,0.2333333333333333,0.06,0.5114112086597969,-0.1104192234116432,0.5231957848088082
6,0.3666666666666667,0.03,0.1057567831471731,0.1072188178863055,0.1506000401413457
7,0.3333333333333333,0.06,0.5112065597990249,-0.1156498776412562,0.5241250241879236
8,0.4666666666666666,0.03,0.1052581825982348,0.1048358658364807,0.1485592264706838
9,0.4333333333333333,0.06,0.5115201278465114,-0.1199507391370596,0.5253960610926182
10,0.5666666666666668,0.03,0.1046742039345577,0.1061886135194986,0.149106373473862
11,0.5333333333333333,0.06,0.5120448033235063,-0.1211291925734691,0.5261769302279499
12,0.6666666666666666,0.03,0.1042714509086964,0.110603397536704,0.1520054177365625
13,0.6333333333333333,0.06,0.5124367689587123,-0.1185862561807193,0.5259792223422936
14,0.7666666666666666,0.03,0.104227611927308,0.115839272671945,0.1558272510866913
15,0.7333333333333334,0.06,0.5123505238898454,-0.1135379709756343,0.5247798873656107
16,0.8666666666666667,0.03,0.1045358445194348,0.1188904685799211,0.1583119904130595
17,0.8333333333333334,0.06,0.5113909060391688,-0.1084944787782932,0.5227730967685077
18,0.9666666666666667,0.03,0.1049722977861836,0.1166358864290929,0.1569175366414202
19,0.9333333333333332,0.06,0.5087200574064693,-0.1062986593585691,0.5197071307852823
20,0.06666666666666667,0.12,0.6853485322199124,0.07829192116890137,0.6898059404907338
21,0.03333333333333333,0.15,0.9352458347304404,-0.05980911016323442,0.9371562842125939
22,0.1666666666666667,0.12,0.6836502123377516,0.07477712119325838,0.6877275846462785
23,0.1333333333333333,0.15,0.9335129933392108,-0.06198182823852804,0.9355684131932437
24,0.2666666666666667,0.12,0.6831238820386729,0.06930384341329325,0.6866303670268604
25,0.2333333333333333,0.15,0.9327180315587564,-0.06649534018366256,0.9350853205248078
26,0.3666666666666667,0.12,0.6826868659074754,0.06418428510335164,0.6856974400833065
27,0.3333333333333333,0.15,0.9325880006608673,-0.07218548709127144,0.9353775299435185
28,0.4666666666666666,0.12,0.6820938130492581,0.06173479946474057,0.6848818549684522
29,0.4333333333333333,0.15,0.932926123654845,-0.07666467002443875,0.9360708433807834
30,0.5666666666666668,0.12,0.6814522286983785,0.06308433880546939,0.6843659648174436
