d_over_a,br_over_lambda0,beta_over_k0_fem_matched,beta_over_k0_analytic,beta_over_k0_helmvec3,selected_candidate_rank,selected_eig_index,ez_ratio,error_percent_analytic,error_percent_helmvec3,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
0.286,0.6,0.706966313860008,0.78,0.74,63,125,0.001167279174345022,9.363293094870777,4.464011640539463,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_6_Ez.vtk
0.286,0.7,0.9083298076167438,0.9,0.88,65,93,3.117310150706441e-07,0.9255341796381926,3.219296320084517,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_7_Ez.vtk
0.286,0.8,1.016344296066668,0.99,1.05,70,89,0.001540029340986423,2.661040006734096,3.205305136507858,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_8_Ez.vtk
0.286,0.9,0.9839630976427356,1.03,1.03,71,87,1.303445228842628e-06,4.469602170608197,4.469602170608197,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br0_9_Ez.vtk
0.286,1,1.103794747598837,1.1,1.09,75,90,0.00482455206024941,0.3449770544396789,1.265573174205181,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_286_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_286_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_286_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_286_br1_Ez.vtk
0.375,0.5,0.7026839783497129,0.68,0.66,36,114,0.009825429734931383,3.335879169075413,6.467269446926186,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_5_Ez.vtk
0.375,0.6,0.887981829878151,0.91,0.9,60,96,1.554622944752608e-06,2.419579134269124,1.335352235761003,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_6_Ez.vtk
0.375,0.7,1.102129519346591,1.05,1.03,64,98,0.007065168267824071,4.964716128246713,7.002865955979661,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_7_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_7_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_7_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_7_Ez.vtk
0.375,0.8,1.106561245277222,1.13,1.11,78,105,0.001194133647410896,2.074226081661761,0.3097977227728021,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_8_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_8_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_8_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_8_Ez.vtk
0.375,0.9,1.170604586154274,1.2,1.18,81,84,3.352681524242785e-06,2.449617820477201,0.7962215123496947,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br0_9_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_9_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br0_9_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br0_9_Ez.vtk
0.375,1,1.236843460763863,1.25,1.23,84,75,3.302637885048285e-06,1.052523138890926,0.5563789238913366,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_375_br1_Et_fields.csv,helmvec3_fig13_rect_table10_da0_375_br1_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_375_br1_Et.vtk,helmvec3_fig13_rect_table10_da0_375_br1_Ez.vtk
0.5,0.4,0.5228539898738185,0.4,0.42,37,102,9.114360561316869e-07,30.71349746845462,24.48904520805202,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_4_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_4_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_4_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_4_Ez.vtk
0.5,0.5,0.933883497921847,0.9,0.89,55,100,0.001382832013209823,3.764833102427441,4.930730103578313,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_5_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_5_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_5_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_5_Ez.vtk
0.5,0.6,1.101090804437195,1.1,1.09,61,103,0.007972229575068069,0.09916403974499019,1.017504994238064,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig13_rect_table10_da0_5_br0_6_Et_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_6_Ez_fields.csv,helmvec3_fig13_rect_table10_da0_5_br0_6_Et.vtk,helmvec3_fig13_rect_table10_da0_5_br0_6_Ez.vtk
