node_id,x_m,y_m,psi,dpsi_dx,dpsi_dy,Ex,Ey
0,0,0,2.432024381317982e-13,1.439620746841718,-0.5715623903980207,0.5715623903980207,1.439620746841718
1,0.125,0,0.1810401773809935,1.364449775505329,-0.5598764876808818,0.5598764876808818,1.364449775505329
2,0.1141931822053251,0.05084208038447502,0.1358509137869413,1.386073793338536,-0.5750097186236836,0.5750097186236836,1.386073793338536
3,0.08364132579485728,0.09289310318467427,0.06717179303235335,1.411789290157422,-0.5690660959704051,0.5690660959704051,1.411789290157422
4,0.03862712429686843,0.1188820645368942,-0.01312194097405794,1.424579270315861,-0.545978663354127,0.545978663354127,1.424579270315861
5,-0.01306605790845667,0.1243152369210342,-0.09114677217693092,1.415980202410679,-0.5210253401395913,0.5210253401395913,1.415980202410679
6,-0.06249999999999997,0.1082531754730548,-0.153411498427938,1.391682337098706,-0.5107186845263274,0.5107186845263274,1.391682337098706
7,-0.1011271242968684,0.07347315653655916,-0.1891499829010091,1.367764576554671,-0.5218789745168992,0.5218789745168992,1.367764576554671
8,-0.1222684500917257,0.02598896135221991,-0.192182716956803,1.36005417425121,-0.5471210706465206,0.5471210706465206,1.36005417425121
9,-0.1222684500917257,-0.02598896135221988,-0.1619853133255462,1.373653445150433,-0.5697412862926287,0.5697412862926287,1.373653445150433
10,-0.1011271242968684,-0.07347315653655913,-0.1037791774298849,1.399563171165182,-0.574770917361357,0.574770917361357,1.399563171165182
11,-0.06250000000000006,-0.1082531754730548,-0.02762867895233342,1.420637978507814,-0.5588816813454032,0.5588816813454032,1.420637978507814
12,-0.01306605790845678,-0.1243152369210342,0.05329906911479474,1.422931748067962,-0.5325881090328147,0.5325881090328147,1.422931748067962
13,0.0386271242968684,-0.1188820645368942,0.1250109239251643,1.404926651023659,-0.5132896802426533,0.5132896802426533,1.404926651023659
14,0.08364132579485731,-0.09289310318467425,0.1751072543003219,1.378537336311314,-0.5137568751878779,0.5137568751878779,1.378537336311314
15,0.1141931822053251,-0.05084208038447502,0.1949259496075328,1.361226705376287,-0.5336805472054272,0.5336805472054272,1.361226705376287
16,0.25,0,0.3561305711375018,1.169635378270546,-0.5265768296263452,0.5265768296263452,1.169635378270546
17,0.2283863644106502,0.10168416076895,0.2688971567989167,1.226747629145277,-0.5818843525478425,0.5818843525478425,1.226747629145277
18,0.1672826515897146,0.1857862063693485,0.1351689811958508,1.306064365850875,-0.576449597861089,0.576449597861089,1.306064365850875
19,0.07725424859373686,0.2377641290737884,-0.0219311392275867,1.35509892200486,-0.5138690765723621,0.5138690765723621,1.35509892200486
20,-0.02613211581691333,0.2486304738420684,-0.1752391664403944,1.341403168347077,-0.4355547923184826,0.4355547923184826,1.341403168347077
21,-0.1249999999999999,0.2165063509461097,-0.2982467497777664,1.274039954431117,-0.3933303552215547,0.3933303552215547,1.274039954431117
22,-0.2022542485937368,0.1469463130731183,-0.3696847605918802,1.197586241839139,-0.4151373131033895,0.4151373131033895,1.197586241839139
23,-0.2445369001834514,0.05197792270443983,-0.3772009178189808,1.162634487619814,-0.4865448976172618,0.4865448976172618,1.162634487619814
24,-0.2445369001834514,-0.05197792270443977,-0.319495609592379,1.192313458661082,-0.560300266530704,0.560300266530704,1.192313458661082
25,-0.2022542485937369,-0.1469463130731183,-0.2065466079406987,1.26698346218321,-0.5875965857323552,0.5875965857323552,1.26698346218321
26,-0.1250000000000001,-0.2165063509461096,-0.05788382135902775,1.33723247606626,-0.5503705589255831,0.5503705589255831,1.33723247606626
27,-0.02613211581691356,-0.2486304738420683,0.1007876037936557,1.356574192736043,-0.4732563801321845,0.4732563801321845,1.356574192736043
28,0.07725424859373681,-0.2377641290737884,0.2420319366238106,1.312209195190181,-0.4072832637164178,0.4072832637164178,1.312209195190181
29,0.1672826515897146,-0.1857862063693485,0.3414267488206547,1.233495414737713,-0.3961082139500788,0.3961082139500788,1.233495414737713
30,0.2283863644106502,-0.10168416076895,0.3817857743817916,1.172521295840371,-0.4471262246658598,0.4471262246658598,1.172521295840371
31,0.375,0,0.5147223237844261,0.9358948400414875,-0.4891933803872813,0.4891933803872813,0.9358948400414875
