formulation,dominant_block,component_label,family,mode_label,positive_rank,eig_index,m,n,p,ar_m,b_m,r_m,r1_m,r2_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,kc_r_fem,kc_r_ana,kc_r1_fem,kc_r1_ana,error_percent,rho_abs,edge_energy,scalar_energy,dominant_energy_ratio,match_space,match_method,mode_status,field_data_kind,field_status,fields_csv_file,vtk_file
E,edge,Et,TE,TE_m5_p1,15,126,5,,1,,,1,,,6.882673382766465,6.415616375700241,,,6.882673382766465,6.415616375700241,,,7.280002102919488,0.9568075789057601,41.83500348416115,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m5_p1_rank15_fields.csv,mixed_circle_E_Et_TE_m5_p1_rank15.vtk
E,edge,Et,TE,TE_m5_p1,16,127,5,,1,,,1,,,6.882673382766482,6.415616375700241,,,6.882673382766482,6.415616375700241,,,7.280002102919751,0.9568075789057593,41.83500348416121,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m5_p1_rank16_fields.csv,mixed_circle_E_Et_TE_m5_p1_rank16.vtk
E,edge,Et,TE,TE_m3_p2,17,132,3,,2,,,1,,,7.897653589791616,8.015236598375953,,,7.897653589791616,8.015236598375953,,,1.466993608250582,0.975574098498055,49.91135841735649,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m3_p2_rank17_fields.csv,mixed_circle_E_Et_TE_m3_p2_rank17.vtk
E,edge,Et,TE,TE_m3_p2,18,133,3,,2,,,1,,,7.897653589791631,8.015236598375953,,,7.897653589791631,8.015236598375953,,,1.466993608250404,0.975574098498055,49.91135841735653,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m3_p2_rank18_fields.csv,mixed_circle_E_Et_TE_m3_p2_rank18.vtk
E,edge,Et,TE,TE_m1_p3,19,134,1,,3,,,1,,,7.935915601502239,8.536316366346288,,,7.935915601502239,8.536316366346288,,,7.033487737299414,0.7277671652370754,69.71353663814718,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p3_rank19_fields.csv,mixed_circle_E_Et_TE_m1_p3_rank19.vtk
E,edge,Et,TE,TE_m1_p3,20,135,1,,3,,,1,,,7.935915601502261,8.536316366346288,,,7.935915601502261,8.536316366346288,,,7.033487737299153,0.7277671652370761,69.71353663814772,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_E_Et_TE_m1_p3_rank20_fields.csv,mixed_circle_E_Et_TE_m1_p3_rank20.vtk
E,scalar,Ez,TM,TM_m0_p1,1,108,0,,1,,,1,,,2.460183931990505,2.404825557695773,,,2.460183931990505,2.404825557695773,,,2.301970474223265,0.9999979340202561,0,61.65496850430665,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m0_p1_rank01_fields.csv,mixed_circle_E_Ez_TM_m0_p1_rank01.vtk
E,scalar,Ez,TM,TM_m1_p1,2,112,1,,1,,,1,,,4.001187840178711,3.831705970207512,,,4.001187840178711,3.831705970207512,,,4.423143928291052,0.9263925568145317,0,42.64095522018743,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p1_rank02_fields.csv,mixed_circle_E_Ez_TM_m1_p1_rank02.vtk
E,scalar,Ez,TM,TM_m1_p1,3,113,1,,1,,,1,,,4.001187840178905,3.831705970207512,,,4.001187840178905,3.831705970207512,,,4.423143928296104,0.9263925568145308,0,42.6409552201873,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p1_rank03_fields.csv,mixed_circle_E_Ez_TM_m1_p1_rank03.vtk
E,scalar,Ez,TM,TM_m2_p1,4,118,2,,1,,,1,,,5.55461932586415,5.135622301840682,,,5.55461932586415,5.135622301840682,,,8.158641726306335,0.7443324792793357,0,39.43804044647869,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m2_p1_rank04_fields.csv,mixed_circle_E_Ez_TM_m2_p1_rank04.vtk
E,scalar,Ez,TM,TM_m2_p1,5,119,2,,1,,,1,,,5.554619325864214,5.135622301840682,,,5.554619325864214,5.135622301840682,,,8.158641726307581,0.7443324792793362,0,39.43804044647874,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m2_p1_rank05_fields.csv,mixed_circle_E_Ez_TM_m2_p1_rank05.vtk
E,scalar,Ez,TM,TM_m0_p2,6,122,0,,2,,,1,,,5.718004281206226,5.52007811028631,,,5.718004281206226,5.52007811028631,,,3.585568301127725,0.9997884573296683,0,70.79656163627388,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m0_p2_rank06_fields.csv,mixed_circle_E_Ez_TM_m0_p2_rank06.vtk
E,scalar,Ez,TM,TM_m3_p1,7,128,3,,1,,,1,,,7.248739115391854,6.380161895923983,,,7.248739115391854,6.380161895923983,,,13.61371754567495,0.9609993899225874,0,41.71562307387821,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m3_p1_rank07_fields.csv,mixed_circle_E_Ez_TM_m3_p1_rank07.vtk
E,scalar,Ez,TM,TM_m3_p1,8,129,3,,1,,,1,,,7.248739115391916,6.380161895923983,,,7.248739115391916,6.380161895923983,,,13.61371754567592,0.9609993899225877,0,41.71562307387824,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m3_p1_rank08_fields.csv,mixed_circle_E_Ez_TM_m3_p1_rank08.vtk
E,scalar,Ez,TM,TM_m1_p2,9,130,1,,2,,,1,,,7.472794392344083,7.015586669815619,,,7.472794392344083,7.015586669815619,,,6.517027642115641,0.8314324652690165,0,58.53729820846372,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p2_rank09_fields.csv,mixed_circle_E_Ez_TM_m1_p2_rank09.vtk
E,scalar,Ez,TM,TM_m1_p2,10,131,1,,2,,,1,,,7.472794392344096,7.015586669815619,,,7.472794392344096,7.015586669815619,,,6.517027642115831,0.8314324652690165,0,58.5372982084635,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p2_rank10_fields.csv,mixed_circle_E_Ez_TM_m1_p2_rank10.vtk
E,scalar,Ez,TM,TM_m4_p1,11,141,4,,1,,,1,,,9.146344936050612,7.588342434503803,,,9.146344936050612,7.588342434503803,,,20.53152602158085,0.9943002373612907,0,47.72469889000624,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m4_p1_rank11_fields.csv,mixed_circle_E_Ez_TM_m4_p1_rank11.vtk
E,scalar,Ez,TM,TM_m4_p1,12,142,4,,1,,,1,,,9.146344936050632,7.588342434503803,,,9.146344936050632,7.588342434503803,,,20.5315260215811,0.9943002373612905,0,47.7246988900061,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m4_p1_rank12_fields.csv,mixed_circle_E_Ez_TM_m4_p1_rank12.vtk
E,scalar,Ez,TM,TM_m0_p3,13,145,0,,3,,,1,,,9.185071279304749,8.653727912911013,,,9.185071279304749,8.653727912911013,,,6.140051683402173,0.9985829504527804,0,74.49215727410603,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m0_p3_rank13_fields.csv,mixed_circle_E_Ez_TM_m0_p3_rank13.vtk
E,scalar,Ez,TM,TM_m2_p2,14,148,2,,2,,,1,,,9.333461847497968,8.417244140399866,,,9.333461847497968,8.417244140399866,,,10.88500810735159,0.8327675106652038,0,53.47390929139317,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m2_p2_rank14_fields.csv,mixed_circle_E_Ez_TM_m2_p2_rank14.vtk
E,scalar,Ez,TM,TM_m2_p2,15,149,2,,2,,,1,,,9.33346184749802,8.417244140399866,,,9.33346184749802,8.417244140399866,,,10.88500810735221,0.8327675106652034,0,53.47390929139286,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m2_p2_rank15_fields.csv,mixed_circle_E_Ez_TM_m2_p2_rank15.vtk
E,scalar,Ez,TM,TM_m1_p3,16,159,1,,3,,,1,,,11.18308426221108,10.17346813506272,,,11.18308426221108,10.17346813506272,,,9.924011298258522,0.9317618808689143,0,74.67768270628844,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p3_rank16_fields.csv,mixed_circle_E_Ez_TM_m1_p3_rank16.vtk
E,scalar,Ez,TM,TM_m1_p3,17,160,1,,3,,,1,,,11.18308426221109,10.17346813506272,,,11.18308426221109,10.17346813506272,,,9.924011298258678,0.9317618808689143,0,74.67768270628851,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m1_p3_rank17_fields.csv,mixed_circle_E_Ez_TM_m1_p3_rank17.vtk
E,scalar,Ez,TM,TM_m5_p1,18,161,5,,1,,,1,,,11.23700312569413,8.771483815959954,,,11.23700312569413,8.771483815959954,,,28.1083492994435,0.7597924648713051,0,57.3928273848819,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m5_p1_rank18_fields.csv,mixed_circle_E_Ez_TM_m5_p1_rank18.vtk
E,scalar,Ez,TM,TM_m5_p1,19,162,5,,1,,,1,,,11.23700312569418,8.771483815959954,,,11.23700312569418,8.771483815959954,,,28.10834929944403,0.7597924648713054,0,57.39282738488185,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m5_p1_rank19_fields.csv,mixed_circle_E_Ez_TM_m5_p1_rank19.vtk
E,scalar,Ez,TM,TM_m3_p2,20,163,3,,2,,,1,,,11.41960514863983,9.761023129981666,,,11.41960514863983,9.761023129981666,,,16.99188698327852,0.9759249157538016,0,55.48318343765851,1,scalar_Tz,mass_correlation,scalar_dominant,scalar_nodal,nodal_unit_peak_normalized,mixed_circle_E_Ez_TM_m3_p2_rank20_fields.csv,mixed_circle_E_Ez_TM_m3_p2_rank20.vtk
H,edge,Ht,TM,TM_m0_p1,1,123,0,,1,,,1,,,2.433549197784431,2.404825557695773,,,2.433549197784431,2.404825557695773,,,1.1944167840673,0.9998928398936383,54.25278642968986,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m0_p1_rank01_fields.csv,mixed_circle_H_Ht_TM_m0_p1_rank01.vtk
H,edge,Ht,TM,TM_m1_p1,2,126,1,,1,,,1,,,3.87453711583405,3.831705970207512,,,3.87453711583405,3.831705970207512,,,1.117808776549156,0.9861972749392443,73.84559680176515,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m1_p1_rank02_fields.csv,mixed_circle_H_Ht_TM_m1_p1_rank02.vtk
H,edge,Ht,TM,TM_m1_p1,3,127,1,,1,,,1,,,3.874537115834179,3.831705970207512,,,3.874537115834179,3.831705970207512,,,1.117808776552529,0.9861972749392433,73.84559680176531,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m1_p1_rank03_fields.csv,mixed_circle_H_Ht_TM_m1_p1_rank03.vtk
H,edge,Ht,TM,TM_m2_p1,4,131,2,,1,,,1,,,5.212574020311733,5.135622301840682,,,5.212574020311733,5.135622301840682,,,1.498391313618804,0.9175079300045621,57.16976804105379,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m2_p1_rank04_fields.csv,mixed_circle_H_Ht_TM_m2_p1_rank04.vtk
H,edge,Ht,TM,TM_m2_p1,5,132,2,,1,,,1,,,5.212574020311825,5.135622301840682,,,5.212574020311825,5.135622301840682,,,1.498391313620603,0.9175079300045621,57.16976804105377,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m2_p1_rank05_fields.csv,mixed_circle_H_Ht_TM_m2_p1_rank05.vtk
H,edge,Ht,TM,TM_m0_p2,6,133,0,,2,,,1,,,5.43841602351276,5.52007811028631,,,5.43841602351276,5.52007811028631,,,1.479364696332426,0.9977061553858833,68.59002901329859,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m0_p2_rank06_fields.csv,mixed_circle_H_Ht_TM_m0_p2_rank06.vtk
H,edge,Ht,TM,TM_m3_p1,7,138,3,,1,,,1,,,6.519656108447361,6.380161895923983,,,6.519656108447361,6.380161895923983,,,2.18637418295756,0.8270946990774994,50.62512091083455,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m3_p1_rank07_fields.csv,mixed_circle_H_Ht_TM_m3_p1_rank07.vtk
H,edge,Ht,TM,TM_m3_p1,8,139,3,,1,,,1,,,6.519656108447431,6.380161895923983,,,6.519656108447431,6.380161895923983,,,2.18637418295866,0.827094699077499,50.62512091083434,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m3_p1_rank08_fields.csv,mixed_circle_H_Ht_TM_m3_p1_rank08.vtk
H,edge,Ht,TM,TM_m1_p2,9,140,1,,2,,,1,,,6.82689227026525,7.015586669815619,,,6.82689227026525,7.015586669815619,,,2.689645334469625,0.9692296999597788,77.74240810888965,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m1_p2_rank09_fields.csv,mixed_circle_H_Ht_TM_m1_p2_rank09.vtk
H,edge,Ht,TM,TM_m1_p2,10,141,1,,2,,,1,,,6.826892270265324,7.015586669815619,,,6.826892270265324,7.015586669815619,,,2.689645334468574,0.9692296999597801,77.74240810888966,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m1_p2_rank10_fields.csv,mixed_circle_H_Ht_TM_m1_p2_rank10.vtk
H,edge,Ht,TM,TM_m4_p1,11,147,4,,1,,,1,,,7.817926513778837,7.588342434503803,,,7.817926513778837,7.588342434503803,,,3.025483908463692,0.7332391508811207,48.28672759800496,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m4_p1_rank11_fields.csv,mixed_circle_H_Ht_TM_m4_p1_rank11.vtk
H,edge,Ht,TM,TM_m4_p1,12,148,4,,1,,,1,,,7.817926513778901,7.588342434503803,,,7.817926513778901,7.588342434503803,,,3.025483908464535,0.7332391508811205,48.28672759800498,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m4_p1_rank12_fields.csv,mixed_circle_H_Ht_TM_m4_p1_rank12.vtk
H,edge,Ht,TM,TM_m0_p3,13,149,0,,3,,,1,,,8.118481027066668,8.653727912911013,,,8.118481027066668,8.653727912911013,,,6.185159635603723,0.99078567669003,67.07266711578983,0,1,edge_Tt,mass_correlation,edge_dominant,edge_vector_cell,cell_centroid_unit_peak_normalized,mixed_circle_H_Ht_TM_m0_p3_rank13_fields.csv,mixed_circle_H_Ht_TM_m0_p3_rank13.vtk
