geometry,formulation,polarization,field,mode_rank,m,n,p,index2_name,kc_analytic,kc_fem,rel_error_pct,rho_abs,a,b,R,r1,r2,kc_times_a,kc_times_R,kc_times_r1,kc_times_r2
coax,scalar,TM,Ht,5,2,,1,p,1.329967,1.347036,1.283,0.9075,,,,1.0,4.0,,,1.347036,5.388144
coax,scalar,TM,Ht,6,3,,1,p,1.606618,1.635982,1.828,0.9187,,,,1.0,4.0,,,1.635982,6.543928
coax,scalar,TM,Ht,7,3,,1,p,1.606618,1.635982,1.828,0.9187,,,,1.0,4.0,,,1.635982,6.543928
coax,scalar,TM,Ht,8,4,,1,p,1.899602,1.948171,2.557,0.8696,,,,1.0,4.0,,,1.948171,7.792684
rect,edge,TE,Et,1,1,0,,n,3.141593,3.141863,0.009,1.0,,,,,,,,,
rect,edge,TE,Et,2,0,1,,n,6.283185,6.25917,0.382,1.0,,,,,,,,,
rect,edge,TE,Et,3,2,0,,n,6.283185,6.285203,0.032,1.0,,,,,,,,,
rect,edge,TE,Et,4,1,1,,n,7.024815,7.013282,0.164,0.9999,,,,,,,,,
rect,edge,TE,Et,5,2,1,,n,8.885766,8.900787,0.169,0.9998,,,,,,,,,
rect,edge,TE,Et,6,3,0,,n,9.424778,9.431605,0.072,0.9996,,,,,,,,,
rect,edge,TE,Et,7,3,1,,n,11.327173,11.373174,0.406,0.9998,,,,,,,,,
rect,edge,TE,Et,8,0,2,,n,12.566371,12.377938,1.5,0.9998,,,,,,,,,
rect,edge,TM,Ht,1,1,1,,n,7.024815,7.013222,0.165,1.0,,,,,,,,,
rect,edge,TM,Ht,2,2,1,,n,8.885766,8.901176,0.173,1.0,,,,,,,,,
rect,edge,TM,Ht,3,3,1,,n,11.327173,11.374011,0.413,0.9999,,,,,,,,,
rect,edge,TM,Ht,4,1,2,,n,12.953118,12.791056,1.251,0.9999,,,,,,,,,
rect,edge,TM,Ht,5,2,2,,n,14.049629,13.958619,0.648,0.9997,,,,,,,,,
rect,edge,TM,Ht,6,4,1,,n,14.049629,14.129637,0.569,0.9997,,,,,,,,,
rect,edge,TM,Ht,7,3,2,,n,15.707963,15.715843,0.05,0.9993,,,,,,,,,
rect,edge,TM,Ht,8,5,1,,n,16.917994,17.029671,0.66,0.9978,,,,,,,,,
circle,edge,TE,Et,1,1,,1,p,1.841184,1.844284,0.168,0.9947,,,1.0,,,,1.844284,,
circle,edge,TE,Et,2,1,,1,p,1.841184,1.844284,0.168,0.9947,,,1.0,,,,1.844284,,
circle,edge,TE,Et,3,2,,1,p,3.054237,3.062353,0.266,0.9957,,,1.0,,,,3.062353,,
circle,edge,TE,Et,4,2,,1,p,3.054237,3.062353,0.266,0.9957,,,1.0,,,,3.062353,,
circle,edge,TE,Et,5,0,,1,p,3.831706,3.828878,0.074,1.0,,,1.0,,,,3.828878,,
circle,edge,TE,Et,6,3,,1,p,4.201189,4.215387,0.338,0.9995,,,1.0,,,,4.215387,,
circle,edge,TE,Et,7,3,,1,p,4.201189,4.215387,0.338,0.9995,,,1.0,,,,4.215387,,
circle,edge,TE,Et,8,1,,2,p,5.331443,5.325603,0.11,0.9417,,,1.0,,,,5.325603,,
circle,edge,TM,Ht,1,0,,1,p,2.404826,2.410168,0.222,1.0,,,1.0,,,,2.410168,,
circle,edge,TM,Ht,2,1,,1,p,3.831706,3.840032,0.217,0.9993,,,1.0,,,,3.840032,,
circle,edge,TM,Ht,3,1,,1,p,3.831706,3.840032,0.217,0.9993,,,1.0,,,,3.840032,,
circle,edge,TM,Ht,4,2,,1,p,5.135622,5.14699,0.221,0.9974,,,1.0,,,,5.14699,,
circle,edge,TM,Ht,5,2,,1,p,5.135622,5.14699,0.221,0.9974,,,1.0,,,,5.14699,,
circle,edge,TM,Ht,6,0,,2,p,5.520078,5.525615,0.1,0.9999,,,1.0,,,,5.525615,,
circle,edge,TM,Ht,7,3,,1,p,6.380162,6.394391,0.223,0.9961,,,1.0,,,,6.394391,,
circle,edge,TM,Ht,8,3,,1,p,6.380162,6.394391,0.223,0.9961,,,1.0,,,,6.394391,,
coax,edge,TE,Et,1,1,,1,p,1.582065,1.582595,0.034,0.9996,,,,0.3,1.0,,,0.4747785,1.582595
coax,edge,TE,Et,2,1,,1,p,1.582065,1.582595,0.034,0.9996,,,,0.3,1.0,,,0.4747785,1.582595
coax,edge,TE,Et,3,2,,1,p,2.968501,2.97371,0.175,0.9999,,,,0.3,1.0,,,0.892113,2.97371
coax,edge,TE,Et,4,2,,1,p,2.968501,2.97371,0.175,0.9999,,,,0.3,1.0,,,0.892113,2.97371
coax,edge,TE,Et,5,3,,1,p,4.180113,4.194573,0.346,0.9876,,,,0.3,1.0,,,1.2583719,4.194573
coax,edge,TE,Et,6,3,,1,p,4.180113,4.194573,0.346,0.9876,,,,0.3,1.0,,,1.2583719,4.194573
coax,edge,TE,Et,7,0,,1,p,4.705776,4.692903,0.274,1.0,,,,0.3,1.0,,,1.4078709,4.692903
coax,edge,TE,Et,8,1,,2,p,5.137395,5.124556,0.25,0.8203,,,,0.3,1.0,,,1.5373668,5.124556
coax,edge,TM,Ht,1,0,,1,p,4.412395,4.401887,0.238,0.9999,,,,0.3,1.0,,,1.3205661,4.401887
coax,edge,TM,Ht,2,1,,1,p,4.705776,4.70121,0.097,0.999,,,,0.3,1.0,,,1.4103629999999998,4.70121
coax,edge,TM,Ht,3,1,,1,p,4.705776,4.70121,0.097,0.999,,,,0.3,1.0,,,1.4103629999999998,4.70121
coax,edge,TM,Ht,4,2,,1,p,5.470237,5.477351,0.13,0.9944,,,,0.3,1.0,,,1.6432052999999998,5.477351
coax,edge,TM,Ht,5,2,,1,p,5.470237,5.477351,0.13,0.9944,,,,0.3,1.0,,,1.6432052999999998,5.477351
coax,edge,TM,Ht,6,3,,1,p,6.493723,6.510755,0.262,0.988,,,,0.3,1.0,,,1.9532264999999998,6.510755
coax,edge,TM,Ht,7,3,,1,p,6.493723,6.510755,0.262,0.988,,,,0.3,1.0,,,1.9532264999999998,6.510755
coax,edge,TM,Ht,8,4,,1,p,7.622848,7.647584,0.325,0.9808,,,,0.3,1.0,,,2.2942752,7.647584
