family,longitudinal_label,mode_label,positive_rank,eig_index,m,p,r1_m,r2_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_p1,1,2,1,1,1,4,104615102.8742066,1,1,2.192570425721877,0.4193177584971801,0.4111263443119422,2.152100761850874,0,0,1.992432326113042,0.9863742086718665,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p1_rank01.csv
TE,Hz,TE_m1_p1,2,3,1,1,1,4,104615102.8742066,1,1,2.192570425721877,0.4193177584975328,0.4111263443119422,2.152100761850805,0,0,1.992432326198822,0.9863742086718648,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p1_rank02.csv
TE,Hz,TE_m2_p1,3,4,2,1,1,4,104615102.8742066,1,1,2.192570425721877,0.7789677002494982,0.7523238910947394,2.049530286118802,0,0,3.541534367064731,0.9615837227221109,te_sign_only_above_cutoff,helm10_coax_fields_TE_m2_p1_rank03.csv
TE,Hz,TE_m2_p1,4,5,2,1,1,4,104615102.8742066,1,1,2.192570425721877,0.7789677002498155,0.7523238910947394,2.049530286118682,0,0,3.541534367106907,0.961583722722117,te_sign_only_above_cutoff,helm10_coax_fields_TE_m2_p1_rank04.csv
TE,Hz,TE_m3_p1,5,6,3,1,1,4,104615102.8742066,1,1,2.192570425721877,1.109755127025965,1.048386404371057,1.890980864469494,0,0,5.853635873094355,0.8625417284664858,te_sign_only_above_cutoff,helm10_coax_fields_TE_m3_p1_rank05.csv
TE,Hz,TE_m3_p1,6,7,3,1,1,4,104615102.8742066,1,1,2.192570425721877,1.1097551270266,1.048386404371057,1.890980864469122,0,0,5.853635873154865,0.8625417284664769,te_sign_only_above_cutoff,helm10_coax_fields_TE_m3_p1_rank06.csv
TE,Hz,TE_m0_p1,7,8,0,1,1,4,104615102.8742066,1,1,2.192570425721877,1.153554469970548,1.111876398402898,1.864584982391841,0,0,3.748444667727111,0.9997371804522711,te_sign_only_above_cutoff,helm10_coax_fields_TE_m0_p1_rank07.csv
TE,Hz,TE_m1_p2,8,9,1,2,1,4,104615102.8742066,1,1,2.192570425721877,1.310256952752727,1.251114740262054,1.758007903711855,0,0,4.727161353584975,0.7115318466425194,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p2_rank08.csv
TE,Hz,TE_m1_p2,9,10,1,2,1,4,104615102.8742066,1,1,2.192570425721877,1.310256952752761,1.251114740262054,1.758007903711829,0,0,4.727161353587726,0.7115318466425247,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p2_rank09.csv
TE,Hz,TE_m4_p1,10,11,4,1,1,4,104615102.8742066,1,1,2.192570425721877,1.443043471381386,1.329096289329045,1.650754558210811,0,0,8.573282685926715,0.9907826424612872,te_sign_only_above_cutoff,helm10_coax_fields_TE_m4_p1_rank10.csv
TM,Ez,TM_m0_p1,1,1,0,1,1,4,104615102.8742066,1,1,2.192570425721877,1.037742968299074,1.024421384819211,1.931438480380889,331.8622816559912,0,1.300400760592651,0.9987578227461574,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m0_p1_rank01.csv
