node_id,x_m,y_m,psi,dpsi_dx,dpsi_dy,Ex,Ey
0,1,0,0,0.1851669400023581,-0.1030432191913894,-0.1851669400023581,0.1030432191913894
1,0.9324722294043558,0.3612416661871529,0,0.03863855799233019,-0.1295757391863509,-0.03863855799233019,0.1295757391863509
2,0.7390089172206591,0.6736956436465572,0,-0.08382441522986289,-0.2065489321218669,0.08382441522986289,0.2065489321218669
3,0.4457383557765383,0.8951632913550623,0,-0.1210956440459788,-0.2596967826961104,0.1210956440459788,0.2596967826961104
4,0.09226835946330202,0.9957341762950345,0,-0.1054417060194603,-0.2134585798495331,0.1054417060194603,0.2134585798495331
5,-0.2736629900720829,0.961825643172819,0,-0.1168165116211562,-0.07698872879352557,0.1168165116211562,0.07698872879352557
6,-0.6026346363792563,0.7980172272802396,0,-0.1857757338993956,0.06030590651825734,0.1857757338993956,-0.06030590651825734
7,-0.850217135729614,0.5264321628773561,0,-0.253775032055846,0.1195187391759361,0.253775032055846,-0.1195187391759361
8,-0.9829730996839018,0.1837495178165704,0,-0.2356513691880057,0.1098156235634127,0.2356513691880057,-0.1098156235634127
9,-0.9829730996839018,-0.1837495178165701,0,-0.1153489562549986,0.1081713739271268,0.1153489562549986,-0.1081713739271268
10,-0.8502171357296141,-0.5264321628773558,0,0.03140059006835325,0.165098380629332,-0.03140059006835325,-0.165098380629332
11,-0.6026346363792572,-0.7980172272802389,0,0.1132456230336127,0.2420761114380972,-0.1132456230336127,-0.2420761114380972
12,-0.2736629900720831,-0.961825643172819,0,0.114847333928394,0.2509326244431436,-0.114847333928394,-0.2509326244431436
13,0.09226835946330243,-0.9957341762950345,0,0.1037015244553404,0.151967940761048,-0.1037015244553404,-0.151967940761048
14,0.4457383557765377,-0.8951632913550626,0,0.1459625467161376,0.001998789876647206,-0.1459625467161376,-0.001998789876647206
15,0.7390089172206585,-0.6736956436465578,0,0.2258437984357257,-0.1014816392266138,-0.2258437984357257,0.1014816392266138
16,0.9324722294043558,-0.361241666187153,0,0.2589224506544507,-0.1190916647050868,-0.2589224506544507,0.1190916647050868
17,1.3,0,0.07255458055383103,0.1291456468517455,-0.1554326465377394,-0.1291456468517455,0.1554326465377394
18,1.212213898225663,0.4696141660432988,-0.00423959598678695,0.06669479595541397,-0.1922970574183072,-0.06669479595541397,0.1922970574183072
19,0.9607115923868569,0.8758043367405244,-0.07882077903312734,-0.005563068659057362,-0.2015546150629491,0.005563068659057362,0.2015546150629491
20,0.5794598625094998,1.163712278761581,-0.1122589211487726,-0.07889035279131031,-0.1835778339046836,0.07889035279131031,0.1835778339046836
21,0.1199488673022926,1.294454429183545,-0.0870999084998445,-0.1423867073309391,-0.1424317108504324,0.1423867073309391,0.1424317108504324
22,-0.3557618870937078,1.250373336124665,-0.01647629699222399,-0.18556642846861,-0.08351041733117452,0.18556642846861,0.08351041733117452
23,-0.7834250272930332,1.037422395464312,0.06274764769979324,-0.2018921280514523,-0.01298924816141399,0.2018921280514523,0.01298924816141399
24,-1.105282276448498,0.6843618117405629,0.109218439361712,-0.190440075925159,0.06103359104321724,0.190440075925159,-0.06103359104321724
25,-1.277865029589072,0.2388743731615415,0.0986791535266674,-0.1546043986756147,0.1280503120578699,0.1546043986756147,-0.1280503120578699
26,-1.277865029589072,-0.2388743731615412,0.03663110943830374,-0.09959119943663609,0.1771278113706012,0.09959119943663609,-0.1771278113706012
27,-1.105282276448498,-0.6843618117405627,-0.04453772048148303,-0.03130910306787392,0.2004716988587071,0.03130910306787392,-0.2004716988587071
28,-0.7834250272930343,-1.037422395464311,-0.1024586546152593,0.04274236873142815,0.1957703304075317,-0.04274236873142815,-0.1957703304075317
29,-0.355761887093708,-1.250373336124665,-0.106897998332771,0.1125764966740854,0.1655766651355912,-0.1125764966740854,-0.1655766651355912
30,0.1199488673022932,-1.294454429183545,-0.05553849338662636,0.1670518235191583,0.1148349430502255,-0.1670518235191583,-0.1148349430502255
31,0.579459862509499,-1.163712278761581,0.02481111460935378,0.1972729701540888,0.049254426209701,-0.1972729701540888,-0.049254426209701
32,0.9607115923868561,-0.8758043367405252,0.09220976327165306,0.1994969756274498,-0.02419488746507887,-0.1994969756274498,0.02419488746507887
33,1.212213898225663,-0.469614166043299,0.1114765600157459,0.1752626708375051,-0.09613137214791639,-0.1752626708375051,0.09613137214791639
34,1.6,0,0.1263192878888411,0.07301858005589867,-0.1706117251093693,-0.07301858005589867,0.1706117251093693
35,1.491955567046969,0.5779866658994447,-0.007585861893440372,0.07742090439340224,-0.2095936070142653,-0.07742090439340224,0.2095936070142653
36,1.182414267553055,1.077913029834492,-0.1375313270569704,0.04970695406926918,-0.1706362330218338,-0.04970695406926918,0.1706362330218338
37,0.7131813692424613,1.4322612661681,-0.1956878922911598,-0.03880393218234138,-0.1058994149418105,0.03880393218234138,0.1058994149418105
38,0.1476293751412832,1.593174682072055,-0.1516988677335519,-0.1486287059397269,-0.07405574661571668,0.1486287059397269,0.07405574661571668
