br_over_lambda0,beta_over_k0_fem,beta_over_k0_analytic,beta_over_k0_helmvec3,selected_candidate_rank,selected_eig_index,ez_ratio,error_percent_analytic,error_percent_helmvec3,match_status,field_status,et_fields_csv_file,ez_fields_csv_file,et_vtk_file,ez_vtk_file
0.2,0.4357998270813411,0.48,0.47,37,118,0.002919225792425138,9.208369358053929,7.276632535884861,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig12_rect_figure12_br0_2_Et_fields.csv,helmvec3_fig12_rect_figure12_br0_2_Ez_fields.csv,helmvec3_fig12_rect_figure12_br0_2_Et.vtk,helmvec3_fig12_rect_figure12_br0_2_Ez.vtk
0.3,1.046828834968595,1,1.01,56,100,0.004036732971300503,4.682883496859458,3.646419303821244,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig12_rect_figure12_br0_3_Et_fields.csv,helmvec3_fig12_rect_figure12_br0_3_Ez_fields.csv,helmvec3_fig12_rect_figure12_br0_3_Et.vtk,helmvec3_fig12_rect_figure12_br0_3_Ez.vtk
0.4,1.106500342529728,1.18,1.17,74,113,0.001338174330535118,6.228784531378945,5.427321151305259,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig12_rect_figure12_br0_4_Et_fields.csv,helmvec3_fig12_rect_figure12_br0_4_Ez_fields.csv,helmvec3_fig12_rect_figure12_br0_4_Et.vtk,helmvec3_fig12_rect_figure12_br0_4_Ez.vtk
0.5,1.332877700260751,1.26,1.28,77,91,0.001111264682597735,5.783944465138934,4.131070332871137,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig12_rect_figure12_br0_5_Et_fields.csv,helmvec3_fig12_rect_figure12_br0_5_Ez_fields.csv,helmvec3_fig12_rect_figure12_br0_5_Et.vtk,helmvec3_fig12_rect_figure12_br0_5_Ez.vtk
0.6,1.358525512020487,1.3,1.35,78,86,0.0009147638660719431,4.501962463114355,0.6315194089249311,matched,Et_cell_unit_peak_normalized__Ez_nodal_unit_peak_normalized,helmvec3_fig12_rect_figure12_br0_6_Et_fields.csv,helmvec3_fig12_rect_figure12_br0_6_Ez_fields.csv,helmvec3_fig12_rect_figure12_br0_6_Et.vtk,helmvec3_fig12_rect_figure12_br0_6_Ez.vtk
