cell_id,xc_m,yc_m,Hx,Hy,Hmag
0,0.06666666666666667,0.008333333333333333,-0.8208566287495001,0.1061329307082289,0.8276894368920702
1,0.03333333333333333,0.01666666666666667,-0.7932490161931443,0.2052141571873709,0.8193636872607392
2,0.1666666666666667,0.008333333333333333,-0.6774383420488092,-0.2562485128617137,0.7242830990860405
3,0.1333333333333333,0.01666666666666667,-0.6641785206395808,-0.1419875023833965,0.6791859525285083
4,0.2666666666666667,0.008333333333333333,0.8830884712748713,-0.05562936483100735,0.8848388973875926
5,0.2333333333333333,0.01666666666666667,0.8450806706655761,-0.1338831904692063,0.8556202712785583
6,0.3666666666666667,0.008333333333333333,0.4825579939191162,0.2680662792460123,0.5520160754579914
7,0.3333333333333333,0.01666666666666667,0.4821743372009055,0.1557619841699462,0.5067088781220348
8,0.4666666666666666,0.008333333333333333,-0.989329424515096,0.04448437708763902,0.9903290210915998
9,0.4333333333333333,0.01666666666666667,-0.9372963280203859,0.09990557536255622,0.9426057131744016
10,0.5666666666666668,0.008333333333333333,-0.466627285395243,-0.2684905550561621,0.5383569463002215
11,0.5333333333333333,0.01666666666666667,-0.4617812585786896,-0.1751599118676257,0.4938855388650219
12,0.6666666666666666,0.008333333333333333,0.9969428402307272,-0.07813432864426796,0.9999999999999999
13,0.6333333333333333,0.01666666666666667,0.9337864432310757,-0.09740197635030023,0.9388526330362436
14,0.7666666666666666,0.008333333333333333,0.6114263669215724,0.2426419101746451,0.6578125103250271
15,0.7333333333333334,0.01666666666666667,0.5891993415400043,0.17451344697156,0.614500453413234
16,0.8666666666666667,0.008333333333333333,-0.8470614813833558,0.1125896340279382,0.8545113100093586
17,0.8333333333333334,0.01666666666666667,-0.7913538486610725,0.1219800519015271,0.8006997232749559
18,0.9666666666666667,0.008333333333333333,-0.7149827335126834,-0.178745683378149,0.736987332691404
19,0.9333333333333332,0.01666666666666667,-0.6753513273611298,-0.1456093209955981,0.6908700961318553
20,0.06666666666666667,0.03333333333333333,-0.6781704955172976,0.3139739611338171,0.7473251429332728
21,0.03333333333333333,0.04166666666666666,-0.5959178720913419,0.5730690351149794,0.826756451009296
22,0.1666666666666667,0.03333333333333333,-0.5947539988426701,-0.6281647603536398,0.8650568104405008
23,0.1333333333333333,0.04166666666666666,-0.5271327461903116,-0.4029502808660301,0.6635042282880735
24,0.2666666666666667,0.03333333333333333,0.7245851427978885,-0.1906367447649835,0.7492436170018575
25,0.2333333333333333,0.04166666666666666,0.6369393845874245,-0.4691165262137111,0.791051259278074
26,0.3666666666666667,0.03333333333333333,0.4393899961445417,0.6622776029077894,0.7947799645343282
27,0.3333333333333333,0.04166666666666666,0.4038906106562511,0.4527947341334188,0.6067542308342256
28,0.4666666666666666,0.03333333333333333,-0.8028836318815838,0.1649331198055881,0.8196493520720718
29,0.4333333333333333,0.04166666666666666,-0.6749489829724917,0.3711303250126536,0.7702557028413349
30,0.5666666666666668,0.03333333333333333,-0.4203911366831219,-0.657840752491516,0.7806940267738259
31,0.5333333333333333,0.04166666666666666,-0.3706080224003981,-0.5101105457456334,0.6305260305082114
32,0.6666666666666666,0.03333333333333333,0.7952607583940715,-0.2466953142510431,0.8326453338096207
33,0.6333333333333333,0.04166666666666666,0.6405901063343665,-0.3608566781367081,0.7352368506062076
34,0.7666666666666666,0.03333333333333333,0.5259463672408686,0.5848809938265014,0.7865782593953018
35,0.7333333333333334,0.04166666666666666,0.4326792297557103,0.4965498057893779,0.6586144740980596
36,0.8666666666666667,0.03333333333333333,-0.6704192460783795,0.3230170649481954,0.7441787350899309
37,0.8333333333333334,0.04166666666666666,-0.5406670948183652,0.4239706691297396,0.6870749855013281
38,0.9666666666666667,0.03333333333333333,-0.596458022981705,-0.4966980209638241,0.7761901166651272
39,0.9333333333333332,0.04166666666666666,-0.4866502177465906,-0.4035276880149865,0.6321890772763512
40,0.06666666666666667,0.05833333333333333,-0.4036969913831838,0.4666154304688235,0.6170099033268752
41,0.03333333333333333,0.06666666666666667,-0.2809664778144176,0.8229727509836198,0.8696127359445621
42,0.1666666666666667,0.05833333333333333,-0.3804757006585468,-0.8740563295998023,0.9532765737733674
43,0.1333333333333333,0.06666666666666667,-0.2708077520176704,-0.5785933543574605,0.6388326136473325
44,0.2666666666666667,0.05833333333333333,0.4337887908951509,-0.3006952928013121,0.5278166104047349
45,0.2333333333333333,0.06666666666666667,0.3128847334052815,-0.7178091125504099,0.783036894698137
46,0.3666666666666667,0.05833333333333333,0.3013799645910337,0.9111915278088148,0.9597394872607123
47,0.3333333333333333,0.06666666666666667,0.2311272960076352,0.6542176822285702,0.6938447972712078
48,0.4666666666666666,0.05833333333333333,-0.447680676172268,0.2607725711679694,0.5180929662634041
49,0.4333333333333333,0.06666666666666667,-0.2751633500731329,0.5791914587096699,0.6412313272647436
50,0.5666666666666668,0.05833333333333333,-0.2704760034340635,-0.8878918882003296,0.9281752386083191
51,0.5333333333333333,0.06666666666666667,-0.180500883985178,-0.7263364054356233,0.7484284488049426
52,0.6666666666666666,0.05833333333333333,0.4108054302876167,-0.3626368159288055,0.5479658400126565
53,0.6333333333333333,0.06666666666666667,0.2061809603211246,-0.5539254330419597,0.5910532748997029
54,0.7666666666666666,0.05833333333333333,0.298388095768275,0.7831330469454646,0.8380529964831011
55,0.7333333333333334,0.06666666666666667,0.1553193024399001,0.6925733602416768,0.7097759822837517
56,0.8666666666666667,0.05833333333333333,-0.3445462923487116,0.4612925438266531,0.5757629360781298
57,0.8333333333333334,0.06666666666666667,-0.1734998709589919,0.6297887941835381,0.6532504347506718
58,0.9666666666666667,0.05833333333333333,-0.3314268465661753,-0.7012172870419965,0.7755961824759949
59,0.9333333333333332,0.06666666666666667,-0.1796574757910623,-0.5585872476071638,0.5867678602283557
60,0.06666666666666667,0.08333333333333333,-0.0506352466947494,0.5273525074877186,0.5297778736049877
61,0.03333333333333333,0.09166666666666667,0.08848404693617054,0.9058731821109079,0.9101844036402429
62,0.1666666666666667,0.08333333333333333,-0.07510080787102544,-0.9482979405622196,0.9512671104466019
63,0.1333333333333333,0.09166666666666667,0.05343305564395751,-0.6357537225314742,0.6379952093457105
64,0.2666666666666667,0.08333333333333333,0.06758277515862141,-0.3560449387970483,0.3624023039953452
65,0.2333333333333333,0.09166666666666667,-0.06433559101012101,-0.8251615187011392,0.8276657539223138
66,0.3666666666666667,0.08333333333333333,0.08552447680353574,0.9640250225637363,0.9678112833923413
67,0.3333333333333333,0.09166666666666667,-0.01199626296314193,0.725521262162474,0.725620432578156
68,0.4666666666666666,0.08333333333333333,-0.006178363043145576,0.3016787902658774,0.3017420498806491
69,0.4333333333333333,0.09166666666666667,0.1694110814268018,0.6758563354365937,0.6967653124689689
70,0.5666666666666668,0.08333333333333333,-0.04067187829805791,-0.907873459247866,0.9087840335805745
71,0.5333333333333333,0.09166666666666667,0.07511070806813387,-0.7822848622417881,0.7858824493263289
72,0.6666666666666666,0.08333333333333333,-0.05814682355517045,-0.3896312947416992,0.3939461878628209
73,0.6333333333333333,0.09166666666666667,-0.2597014043079488,-0.6262455867567471,0.6779589621295844
