ordered_rank,solver_index,dof_index,component_real,component_imag
1,0,0,-0.1473485916500312,0
1,0,1,-0.1473485916500112,0
1,0,2,-0.1473485916500315,0
1,0,3,-0.1473485916500312,0
1,0,4,-0.1473485916500223,0
1,0,5,-0.1473485916500037,0
1,0,6,-0.1473485916499432,0
1,0,7,-0.1473485916499961,0
1,0,8,-0.1473485916499985,0
1,0,9,-0.14734859165,0
1,0,10,-0.1473485916500432,0
1,0,11,-0.1473485916500528,0
1,0,12,-0.1473485916500539,0
1,0,13,-0.147348591650065,0
1,0,14,-0.147348591650078,0
1,0,15,-0.1473485916500652,0
1,0,16,-0.1473485916500435,0
1,0,17,-0.147348591650028,0
1,0,18,-0.1473485916500262,0
1,0,19,-0.1473485916500033,0
1,0,20,-0.1473485916500432,0
1,0,21,-0.1473485916500199,0
1,0,22,-0.1473485916500059,0
1,0,23,-0.1473485916500175,0
1,0,24,-0.1473485916500018,0
1,0,25,-0.147348591649987,0
1,0,26,-0.1473485916499937,0
1,0,27,-0.1473485916500314,0
1,0,28,-0.1473485916500147,0
1,0,29,-0.1473485916500605,0
1,0,30,-0.1473485916500728,0
1,0,31,-0.1473485916500505,0
1,0,32,-0.1473485916500657,0
1,0,33,-0.1473485916500309,0
1,0,34,-0.1473485916500266,0
1,0,35,-0.1473485916500258,0
1,0,36,-0.1473485916500182,0
1,0,37,-0.1473485916500265,0
1,0,38,-0.1473485916500134,0
1,0,39,-0.1473485916500043,0
1,0,40,-0.1473485916500285,0
1,0,41,-0.1473485916499808,0
1,0,42,-0.1473485916499786,0
1,0,43,-0.1473485916499974,0
1,0,44,-0.1473485916500167,0
1,0,45,-0.1473485916500333,0
1,0,46,-0.1473485916500618,0
1,0,47,-0.1473485916500809,0
1,0,48,-0.1473485916500799,0
1,0,49,-0.1473485916500896,0
1,0,50,-0.1473485916500412,0
1,0,51,-0.1473485916500266,0
1,0,52,-0.1473485916500012,0
1,0,53,-0.1473485916500545,0
1,0,54,-0.1473485916499979,0
1,0,55,-0.1473485916500113,0
1,0,56,-0.1473485916500007,0
1,0,57,-0.1473485916500225,0
1,0,58,-0.1473485916499704,0
1,0,59,-0.1473485916499701,0
1,0,60,-0.1473485916499972,0
1,0,61,-0.1473485916500353,0
1,0,62,-0.1473485916500299,0
1,0,63,-0.147348591650085,0
1,0,64,-0.1473485916500904,0
1,0,65,-0.1473485916500592,0
1,0,66,-0.1473485916500772,0
1,0,67,-0.1473485916500432,0
1,0,68,-0.1473485916500174,0
1,0,69,-0.1473485916499955,0
1,0,70,-0.147348591650041,0
1,0,71,-0.1473485916500218,0
1,0,72,-0.1473485916500102,0
1,0,73,-0.1473485916500009,0
1,0,74,-0.147348591650009,0
1,0,75,-0.1473485916499914,0
1,0,76,-0.147348591649969,0
1,0,77,-0.1473485916499849,0
1,0,78,-0.1473485916499934,0
1,0,79,-0.1473485916500633,0
1,0,80,-0.1473485916500955,0
1,0,81,-0.1473485916501028,0
1,0,82,-0.1473485916500668,0
1,0,83,-0.1473485916500273,0
1,0,84,-0.14734859165003,0
1,0,85,-0.14734859165002,0
1,0,86,-0.1473485916500041,0
1,0,87,-0.1473485916499895,0
1,0,88,-0.1473485916500079,0
1,0,89,-0.1473485916500129,0
1,0,90,-0.1473485916500048,0
1,0,91,-0.1473485916500315,0
1,0,92,-0.1473485916499374,0
1,0,93,-0.1473485916499667,0
1,0,94,-0.1473485916499802,0
1,0,95,-0.1473485916500256,0
1,0,96,-0.1473485916500268,0
1,0,97,-0.1473485916501126,0
1,0,98,-0.1473485916501137,0
1,0,99,-0.1473485916500842,0
1,0,100,-0.147348591649988,0
1,0,101,-0.1473485916500605,0
1,0,102,-0.1473485916500178,0
1,0,103,-0.1473485916499787,0
1,0,104,-0.1473485916500111,0
1,0,105,-0.147348591650015,0
1,0,106,-0.1473485916500304,0
1,0,107,-0.147348591650018,0
1,0,108,-0.1473485916500474,0
1,0,109,-0.1473485916499929,0
1,0,110,-0.1473485916499573,0
1,0,111,-0.1473485916499738,0
1,0,112,-0.1473485916500568,0
1,0,113,-0.1473485916499787,0
1,0,114,-0.1473485916501348,0
1,0,115,-0.1473485916501325,0
1,0,116,-0.147348591650076,0
1,0,117,-0.147348591650092,0
1,0,118,-0.147348591650043,0
1,0,119,-0.1473485916500329,0
1,0,120,-0.1473485916500075,0
1,0,121,-0.1473485916498259,0
1,0,122,-0.1473485916499587,0
1,0,123,-0.1473485916500523,0
1,0,124,-0.1473485916499943,0
1,0,125,-0.1473485916500969,0
1,0,126,-0.1473485916499113,0
1,0,127,-0.1473485916499348,0
1,0,128,-0.1473485916499645,0
1,0,129,-0.14734859165006,0
1,0,130,-0.1473485916500305,0
1,0,131,-0.1473485916502024,0
1,0,132,-0.1473485916501341,0
1,0,133,-0.1473485916500135,0
1,0,134,-0.1473485916499828,0
1,0,135,-0.1473485916500325,0
1,0,136,-0.1473485916500001,0
1,0,137,-0.1473485916501306,0
1,0,138,-0.147348591649877,0
1,0,139,-0.1473485916499871,0
1,0,140,-0.1473485916500329,0
1,0,141,-0.1473485916500378,0
1,0,142,-0.1473485916501743,0
1,0,143,-0.1473485916499278,0
1,0,144,-0.1473485916499092,0
1,0,145,-0.1473485916499835,0
1,0,146,-0.1473485916500296,0
1,0,147,-0.1473485916499452,0
1,0,148,-0.1473485916502385,0
1,0,149,-0.1473485916501517,0
1,0,150,-0.1473485916499783,0
1,0,151,-0.1473485916501713,0
1,0,152,-0.1473485916500486,0
1,0,153,-0.1473485916500535,0
1,0,154,-0.1473485916501653,0
1,0,155,-0.1473485916497779,0
1,0,156,-0.1473485916501716,0
1,0,157,-0.147348591650005,0
1,0,158,-0.1473485916500705,0
1,0,159,-0.147348591650156,0
1,0,160,-0.1473485916498369,0
1,0,161,-0.1473485916499584,0
1,0,162,-0.1473485916499443,0
1,0,163,-0.1473485916498198,0
1,0,164,-0.1473485916499434,0
1,0,165,-0.1473485916502276,0
1,0,166,-0.1473485916501481,0
1,0,167,-0.147348591649842,0
1,0,168,-0.1473485916501642,0
1,0,169,-0.1473485916499987,0
1,0,170,-0.1473485916499738,0
1,0,171,-0.147348591649966,0
1,0,172,-0.1473485916500725,0
1,0,173,-0.1473485916498608,0
1,0,174,-0.1473485916501373,0
1,0,175,-0.1473485916499805,0
1,0,176,-0.1473485916498262,0
1,0,177,-0.1473485916500927,0
1,0,178,-0.1473485916499286,0
1,0,179,-0.1473485916499974,0
1,0,180,-0.1473485916500693,0
1,0,181,-0.147348591649973,0
1,0,182,-0.147348591650304,0
1,0,183,-0.1473485916501608,0
1,0,184,-0.1473485916501482,0
1,0,185,-0.1473485916499847,0
1,0,186,-0.1473485916502295,0
2,1,0,-0.026274077333365,0
2,1,1,-0.08143564390550898,0
2,1,2,-0.1255988755177732,0
2,1,3,-0.1527992830239494,0
2,1,4,-0.1593633006676777,0
2,1,5,-0.1444044214937064,0
2,1,6,-0.1099429250244744,0
2,1,7,-0.06063302731597107,0
2,1,8,-0.003134303289204032,0
2,1,9,0.05478772576454081,0
2,1,10,0.1053103688645406,0
2,1,11,0.1416102631044499,0
2,1,12,0.15878490662254,0
2,1,13,0.1545147686437261,0
2,1,14,0.1293765549636887,0
2,1,15,0.08676532063554659,0
2,1,16,0.03243594897234301,0
2,1,17,-0.02725961568389879,0
2,1,18,-0.08377605677818731,0
2,1,19,-0.1289780771854118,0
2,1,20,-0.1567608935766107,0
2,1,21,-0.1633722826481309,0
2,1,22,-0.1479193396709768,0
2,1,23,-0.1124890702219258,0
2,1,24,-0.06186652851592637,0
2,1,25,-0.002888569319586175,0
2,1,26,0.05647950716947263,0
2,1,27,0.1082197132515569,0
2,1,28,0.1453442473928296,0
2,1,29,0.1628392355434881,0
2,1,30,0.1583418826106126,0
2,1,31,0.1324595810284763,0
2,1,32,0.08868787904460823,0
2,1,33,0.03293838755923727,0
2,1,34,-0.02871929469695042,0
2,1,35,-0.08856504518069805,0
2,1,36,-0.1364495955569338,0
2,1,37,-0.1659058719599189,0
2,1,38,-0.1729556410385288,0
2,1,39,-0.1566467924146054,0
2,1,40,-0.1191819264652838,0
2,1,41,-0.0656208809369279,0
2,1,42,-0.003197371820204449,0
2,1,43,0.05965796007808554,0
2,1,44,0.1144561538916648,0
2,1,45,0.1537964098987165,0
