cell_id,xc_m,yc_m,Hx,Hy,Hmag
0,0.07973106073510837,0.01694736012815834,0.04332970072497654,-0.1460553769389686,0.1523470908737683
1,0.06594483600006079,0.04791172785638309,0.01682341240663637,-0.09198178232851265,0.09350762260550552
2,0.04075615003057523,0.07059172257385615,-0.1049128809008104,0.01782578873822597,0.1064164992989691
3,0.008520355462803922,0.08106576715264278,-0.1433278776562423,0.03273737983582016,0.1470191026770247
4,-0.02518868596948555,0.077522804131363,-0.005705091235543401,0.04849193663571689,0.04882638615224617
5,-0.05454237476562279,0.06057544400320466,0.1048228164260011,0.1105523100356471,0.1523470908737576
6,-0.07446519146286472,0.03315403929625969,0.07124685397855891,0.06056039368668151,0.09350762260547506
7,-0.08151230006115047,1.040834085586084e-17,0.03701885456062876,-0.09977011441344662,0.106416499298996
8,-0.07446519146286472,-0.03315403929625967,0.04331253623698783,-0.1404942730387792,0.1470191026770856
9,-0.05454237476562283,-0.06057544400320464,-0.03914270338743683,-0.02918672225880509,0.04882638615225877
10,-0.02518868596948561,-0.07752280413136299,-0.1481525171509229,0.03550306690328086,0.1523470908737457
11,0.008520355462803874,-0.08106576715264278,-0.08807026638514982,0.03142138864176664,0.09350762260547635
12,0.04075615003057523,-0.07059172257385615,0.06789402634023275,0.0819443256751969,0.1064164992989854
13,0.06594483600006081,-0.04791172785638309,0.100015341419324,0.1077568932029117,0.1470191026770591
14,0.07973106073510837,-0.01694736012815834,0.04484779462306133,-0.01930521437693606,0.04882638615228192
15,0.2011287881368834,0.03389472025631668,0.2198414710355386,-0.3882903342183269,0.4462058449129164
16,0.1558598488719918,0.05084208038447502,-0.04328539974831776,-0.1480670683289396,0.1542643269032038
17,0.1699540660685633,0.1127708158409245,0.00600820181153045,-0.2993106736178642,0.2993709702536098
18,0.121705719863299,0.1098404633128326,-0.1883316947990944,-0.2345534965589725,0.3008058676521107
19,0.1093927419927696,0.1721478128759371,-0.3570265257340278,-0.07103822845461319,0.3640252326140047
20,0.06650756622848752,0.149846432265119,-0.1284427976700952,-0.04852814837849433,0.1373045281786663
21,0.02991641902456399,0.201758889150917,-0.410172009881221,0.06595635050172283,0.4154411123871909
22,-0.0001903498095005227,0.1639425917666656,-0.1086089312104471,0.2372179771377939,0.2608989624663589
23,-0.05473272457512331,0.1964840205697374,-0.06205822618130771,0.2469875268864558,0.2546646066383353
24,-0.06685535263615219,0.1496915877800662,-0.07107043060863945,0.2345552531884608,0.2450860520413195
25,-0.1299180828645789,0.1572352798307609,0.2263485579592686,0.384533465831266,0.4462058449129121
26,-0.1219604576302017,0.1095575483609108,0.1498725425109214,0.03654727836944165,0.1542643269032131
27,-0.1826394243580189,0.09079913077137243,0.2562065460711678,0.1548585922087896,0.2993709702536396
28,-0.1559774915240152,0.05048001353107297,0.2972951339661181,-0.04582328375437014,0.3008058676521547
