node_id,x_m,y_m,psi,dpsi_dx,dpsi_dy,Ex,Ey
0,0,0,0,4.232712996158681,0.5330570489443016,-4.232712996158681,-0.5330570489443016
1,0.1,0,0,4.029982130234917,11.81409348073792,-4.029982130234917,-11.81409348073792
2,0.2,0,0,3.560591152580069,22.45265738127656,-3.560591152580069,-22.45265738127656
3,0.3,0,0,2.582007228202928,30.8493964989049,-2.582007228202928,-30.8493964989049
4,0.4,0,0,1.367678694217819,36.26028227777632,-1.367678694217819,-36.26028227777632
5,0.5,0,0,0.01034171914329044,38.15562159850578,-0.01034171914329044,-38.15562159850578
6,0.6,0,0,-1.363912466611116,36.30964319257973,1.363912466611116,-36.30964319257973
7,0.7,0,0,-2.614793882223809,30.86296468502518,2.614793882223809,-30.86296468502518
8,0.8,0,0,-3.59098860369576,22.3446462465257,3.59098860369576,-22.3446462465257
9,0.9,0,0,-4.525989817068242,11.69230439316977,4.525989817068242,-11.69230439316977
10,1,0,0,-4.182117355893864,0.5255733359801752,4.182117355893864,-0.5255733359801752
11,0,0.025,0,5.244770199199448,0.5927691364876992,-5.244770199199448,-0.5927691364876992
12,0.1,0.025,0.4282216424749704,5.018536550112694,8.457234736205104,-5.018536550112694,-8.457234736205104
13,0.2,0.025,0.8152128420165152,4.328147274814883,16.08569958568743,-4.328147274814883,-16.08569958568743
14,0.3,0.025,1.119588787891223,3.139640822377493,22.1056017061325,-3.139640822377493,-22.1056017061325
15,0.4,0.025,1.31587477394936,1.663655868959872,25.98613890606493,-1.663655868959872,-25.98613890606493
16,0.5,0.025,1.384604013308517,0.01362164255444951,27.34918463416426,-0.01362164255444951,-27.34918463416426
17,0.6,0.025,1.317567022364785,-1.657678014972181,26.0305163639365,1.657678014972181,-26.0305163639365
18,0.7,0.025,1.119876826275127,-3.178799757190524,22.1286045752693,3.178799757190524,-22.1286045752693
19,0.8,0.025,0.8102072834729552,-4.36722558123338,16.02832100470174,4.36722558123338,-16.02832100470174
20,0.9,0.025,0.4246855901909253,-5.260263967023952,8.409150294379888,5.260263967023952,-8.409150294379888
21,1,0.025,0,-5.167419303700166,0.6424336390469289,5.167419303700166,-0.6424336390469289
22,0,0.05,0,6.257610765199661,0.5831239358834907,-6.257610765199661,-0.5831239358834907
23,0.1,0.05,0.6668555685080798,5.955626902668635,6.104159552542631,-5.955626902668635,-6.104159552542631
24,0.2,0.05,1.267251601204065,5.091419861095591,11.61925727438167,-5.091419861095591,-11.61925727438167
25,0.3,0.05,1.740440463347557,3.694587806367155,15.97052683035689,-3.694587806367155,-15.97052683035689
26,0.4,0.05,2.045662704875996,1.958723737830079,18.77817984504329,-1.958723737830079,-18.77817984504329
27,0.5,0.05,2.152630724927671,0.01774201837963316,19.77006426476224,-0.01774201837963316,-19.77006426476224
28,0.6,0.05,2.048524122565225,-1.949467745766669,18.82355326778323,1.949467745766669,-18.82355326778323
29,0.7,0.05,1.741227453428772,-3.739871371104186,16.00570416786676,3.739871371104186,-16.00570416786676
30,0.8,0.05,1.259979859199551,-5.139898029273695,11.59897309181857,5.139898029273695,-11.59897309181857
31,0.9,0.05,0.658129215647659,-6.09106097301829,6.104918044109895,6.09106097301829,-6.104918044109895
32,1,0.05,0,-6.174382903013766,0.622360802411063,6.174382903013766,-0.622360802411063
33,0,0.075,0,7.133212665655795,0.4641556485267051,-7.133212665655795,-0.4641556485267051
34,0.1,0.075,0.8321953954033866,6.769302545270898,3.987723288488638,-6.769302545270898,-3.987723288488638
35,0.2,0.075,1.580049273536598,5.754971689483458,7.586384046932495,-5.754971689483458,-7.586384046932495
36,0.3,0.075,2.17027367490846,4.177584270259929,10.42875015239113,-4.177584270259929,-10.42875015239113
37,0.4,0.075,2.551052672396807,2.216470149686113,12.26710708309676,-2.216470149686113,-12.26710708309676
38,0.5,0.075,2.684716158394109,0.02280812609128687,12.92527209673426,-0.02280812609128687,-12.92527209673426
39,0.6,0.075,2.555131185950907,-2.202553406083787,12.31589937059312,2.202553406083787,-12.31589937059312
40,0.7,0.075,2.171976586687502,-4.228145082916506,10.47673281370167,4.228145082916506,-10.47673281370167
41,0.8,0.075,1.572149109710562,-5.812803450530497,7.59604142424248,5.812803450530497,-7.59604142424248
42,0.9,0.075,0.8204432315976627,-6.816942054037357,4.00267844627107,6.816942054037357,-4.00267844627107
43,1,0.075,0,-7.0439196889322,0.4915029702925153,7.0439196889322,-0.4915029702925153
44,0,0.1,0,7.718209003976057,0.2364553790593288,-7.718209003976057,-0.2364553790593288
45,0.1,0.1,0.9304014948853643,7.331025870747584,1.747265178575454,-7.331025870747584,-1.747265178575454
46,0.2,0.1,1.765868182979357,6.205596092893641,3.299166230714999,-6.205596092893641,-3.299166230714999
47,0.3,0.1,2.42584586278055,4.506345847187866,4.534980316138695,-4.506345847187866,-4.534980316138695
48,0.4,0.1,2.851754004756994,2.393523351971007,5.34129369723899,-2.393523351971007,-5.34129369723899
49,0.5,0.1,3.001676350822157,0.02875330915880049,5.643876523020509,-0.02875330915880049,-5.643876523020509
50,0.6,0.1,2.85727098930988,-2.373498730940975,5.393126208128896,2.373498730940975,-5.393126208128896
51,0.7,0.1,2.429050715625334,-4.560911549228829,4.594252212006062,4.560911549228829,-4.594252212006062
52,0.8,0.1,1.758759953301906,-6.272182064233163,3.333662734991443,6.272182064233163,-3.333662734991443
53,0.9,0.1,0.9180462404431893,-7.299816996748188,1.744724382011119,7.299816996748188,-1.744724382011119
54,1,0.1,0,-7.625286250586224,0.2504828434070605,7.625286250586224,-0.2504828434070605
55,0,0.125,0,7.854321116577448,-0.0753797653549534,-7.854321116577448,0.0753797653549534
56,0.1,0.125,0.9541333242944855,7.480109338919507,-0.7599670497263367,-7.480109338919507,0.7599670497263367
57,0.2,0.125,1.810602444854019,6.309174036079634,-1.506731832058086,-6.309174036079634,1.506731832058086
58,0.3,0.125,2.48754061407065,4.583312420893167,-2.074369609299925,-4.583312420893167,2.074369609299925
59,0.4,0.125,2.924627146757637,2.438510391711183,-2.426908867277134,-2.438510391711183,2.426908867277134
60,0.5,0.125,3.0791350507318,0.03551222732253725,-2.524182787563429,-0.03551222732253725,2.524182787563429
61,0.6,0.125,2.931720827186691,-2.410901696237874,-2.373953747012174,2.410901696237874,2.373953747012174
62,0.7,0.125,2.49264822050236,-4.640199236498442,-2.00751806131882,4.640199236498442,2.00751806131882
63,0.8,0.125,1.805174042828058,-6.382770708217708,-1.45249136760819,6.382770708217708,1.45249136760819
64,0.9,0.125,0.94278740318337,-7.417724048983986,-0.7681687520300079,7.417724048983986,0.7681687520300079
65,1,0.125,0,-7.76236320009001,-0.07748296041802927,7.76236320009001,0.07748296041802927
66,0,0.15,0,7.347698630333973,-0.3917328383576882,-7.347698630333973,0.3917328383576882
67,0.1,0.15,0.8970021722812642,6.983477784089489,-3.472935279983002,-6.983477784089489,3.472935279983002
68,0.2,0.15,1.701916937548878,5.896492954836061,-6.642391424952432,-5.896492954836061,6.642391424952432
69,0.3,0.15,2.338237920092976,4.285295294745509,-9.140373366620098,-4.285295294745509,9.140373366620098
70,0.4,0.15,2.749527281111074,2.28603539379141,-10.73341583992698,-2.28603539379141,10.73341583992698
71,0.5,0.15,2.895875875740566,0.04216416365287787,-11.26069084606632,-0.04216416365287787,11.26069084606632
72,0.6,0.15,2.758273023557338,-2.250136783057867,-10.68325326143152,2.250136783057867,10.68325326143152
73,0.7,0.15,2.345564077753736,-4.342236191038867,-9.072150246739774,4.342236191038867,9.072150246739774
74,0.8,0.15,1.698785610294803,-5.97447991134387,-6.576881815404456,5.97447991134387,6.576881815404456
75,0.9,0.15,0.8878048950147966,-6.953957789673863,-3.440539176479829,6.953957789673863,3.440539176479829
76,1,0.15,0,-7.263743480687154,-0.4032023440660901,7.263743480687154,0.4032023440660901
77,0,0.175,0,6.179696304874532,-0.6786453923925235,-6.179696304874532,0.6786453923925235
78,0.1,0.175,0.7578777234516619,5.856663548566205,-6.047469283577385,-5.856663548566205,6.047469283577385
79,0.2,0.175,1.437539249695218,4.949875384298092,-11.50625818371926,-4.949875384298092,11.50625818371926
80,0.3,0.175,1.974603978261005,3.599045613773529,-15.83592117389539,-3.599045613773529,15.83592117389539
81,0.4,0.175,2.322428779466964,1.928776104909373,-18.60745261550977,-1.928776104909373,18.60745261550977
82,0.5,0.175,2.4475523568525,0.04816752396034492,-19.54409733149003,-0.04816752396034492,19.54409733149003
83,0.6,0.175,2.332685561525022,-1.885101741690441,-18.56467363148484,1.885101741690441,18.56467363148484
84,0.7,0.175,1.984091016584286,-3.654365430440774,-15.77495449686901,3.654365430440774,15.77495449686901
85,0.8,0.175,1.436765400735152,-5.02995940647697,-11.44267463438148,5.02995940647697,11.44267463438148
86,0.9,0.175,0.7510815071774554,-5.849305450284336,-5.994532156242697,5.849305450284336,5.994532156242697
87,1,0.175,0,-6.106568143764032,-0.6794120633551288,6.106568143764032,0.6794120633551288
88,0,0.2,0,4.46340310873563,-0.9128830495591226,-4.46340310873563,0.9128830495591226
89,0.1,0.2,0.5481644270126975,4.223226929997329,-8.070058497444355,-4.223226929997329,8.070058497444355
90,0.2,0.2,1.038741477601405,3.559476655268848,-15.35653479891062,-3.559476655268848,15.35653479891062
91,0.3,0.2,1.425771993373791,2.589805242996937,-21.13978026688599,-2.589805242996937,21.13978026688599
92,0.4,0.2,1.677464895362081,1.400782857400001,-24.84750560320939,-1.400782857400001,24.84750560320939
93,0.5,0.2,1.76994655956067,0.05280536885268041,-26.11158315136559,-0.05280536885268041,26.11158315136559
94,0.6,0.2,1.68887994175672,-1.350793829275724,-24.81633998872959,1.350793829275724,24.81633998872959
95,0.7,0.2,1.436963945373368,-2.64332975843051,-21.09441266745687,2.64332975843051,21.09441266745687
96,0.8,0.2,1.039855190736145,-3.640130052554885,-15.30681840428772,3.640130052554885,15.30681840428772
97,0.9,0.2,0.5432375436401691,-4.222593398197389,-8.027337307066066,4.222593398197389,8.027337307066066
