family,longitudinal_label,mode_label,positive_rank,eig_index,m,p,r1_m,r2_m,freq_hz,eps_r,mu_r,k_medium,kc_fem,kc_ana,beta,ztm,below_cutoff,error_percent,rho_abs,field_status,fields_csv_file
TE,Hz,TE_m1_p1,1,2,1,1,1,4,105021581.5539591,1,1,2.201089588896465,0.4198656322588384,0.4111263443119422,2.160673096328154,0,0,2.125693978945138,0.9046477422245027,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p1_rank01.csv
TE,Hz,TE_m1_p1,2,3,1,1,1,4,105021581.5539591,1,1,2.201089588896465,0.4198656322590164,0.4111263443119422,2.16067309632812,0,0,2.125693978988426,0.9046477422245024,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p1_rank02.csv
TE,Hz,TE_m2_p1,3,4,2,1,1,4,105021581.5539591,1,1,2.201089588896465,0.7714583593057847,0.7523238910947394,2.061467287687494,0,0,2.543381705345267,0.7200013766790713,te_sign_only_above_cutoff,helm10_coax_fields_TE_m2_p1_rank03.csv
TE,Hz,TE_m2_p1,4,5,2,1,1,4,105021581.5539591,1,1,2.201089588896465,0.7714583593058412,0.7523238910947394,2.061467287687473,0,0,2.543381705352779,0.7200013766790713,te_sign_only_above_cutoff,helm10_coax_fields_TE_m2_p1_rank04.csv
TE,Hz,TE_m3_p1,5,6,3,1,1,4,105021581.5539591,1,1,2.201089588896465,1.098406352044262,1.048386404371057,1.907432532001388,0,0,4.771136621445635,0.8818671776197909,te_sign_only_above_cutoff,helm10_coax_fields_TE_m3_p1_rank05.csv
TE,Hz,TE_m3_p1,6,7,3,1,1,4,105021581.5539591,1,1,2.201089588896465,1.098406352044293,1.048386404371057,1.90743253200137,0,0,4.771136621448621,0.8818671776197912,te_sign_only_above_cutoff,helm10_coax_fields_TE_m3_p1_rank06.csv
TE,Hz,TE_m0_p1,7,8,0,1,1,4,105021581.5539591,1,1,2.201089588896465,1.135591047411104,1.111876398402898,1.885531318060816,0,0,2.132849392456738,0.9999937972739155,te_sign_only_above_cutoff,helm10_coax_fields_TE_m0_p1_rank07.csv
TE,Hz,TE_m1_p2,8,9,1,2,1,4,105021581.5539591,1,1,2.201089588896465,1.299374725919729,1.251114740262054,1.776631841431825,0,0,3.857358890006065,0.9408766060917275,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p2_rank08.csv
TE,Hz,TE_m1_p2,9,10,1,2,1,4,105021581.5539591,1,1,2.201089588896465,1.299374725919747,1.251114740262054,1.776631841431812,0,0,3.857358890007486,0.9408766060917279,te_sign_only_above_cutoff,helm10_coax_fields_TE_m1_p2_rank09.csv
TE,Hz,TE_m4_p1,10,11,4,1,1,4,105021581.5539591,1,1,2.201089588896465,1.44042596552079,1.329096289329045,1.664322209249732,0,0,8.37634391771166,0.9683957557467371,te_sign_only_above_cutoff,helm10_coax_fields_TE_m4_p1_rank10.csv
TM,Ez,TM_m0_p1,1,1,0,1,1,4,105021581.5539591,1,1,2.201089588896465,1.047355814325234,1.024421384819211,1.935934187039305,331.3473003685778,0,2.238769108677869,0.9999997192754133,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m0_p1_rank01.csv
TM,Ez,TM_m1_p1,2,2,1,1,1,4,105021581.5539591,1,1,2.201089588896465,1.149993800647314,1.111876398402898,1.876781723275552,321.2229845165785,0,3.428204996451773,0.9331496197895457,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m1_p1_rank02.csv
TM,Ez,TM_m1_p1,3,3,1,1,1,4,105021581.5539591,1,1,2.201089588896465,1.149993800647355,1.111876398402898,1.876781723275528,321.2229845165742,0,3.428204996455407,0.933149619789545,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m1_p1_rank03.csv
TM,Ez,TM_m2_p1,4,4,2,1,1,4,105021581.5539591,1,1,2.201089588896465,1.413923052667723,1.329966967542048,1.686895663484614,288.7227922525134,0,6.312644387013306,0.7358982490049318,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m2_p1_rank04.csv
TM,Ez,TM_m2_p1,5,5,2,1,1,4,105021581.5539591,1,1,2.201089588896465,1.413923052667752,1.329966967542048,1.686895663484589,288.7227922525092,0,6.312644387015526,0.7358982490049322,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m2_p1_rank05.csv
TM,Ez,TM_m3_p1,6,6,3,1,1,4,105021581.5539591,1,1,2.201089588896465,1.774283526287144,1.60661817791221,1.30257949726474,222.944665590209,0,10.43591754904796,0.8202685248115302,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m3_p1_rank06.csv
TM,Ez,TM_m3_p1,7,7,3,1,1,4,105021581.5539591,1,1,2.201089588896465,1.774283526287156,1.60661817791221,1.302579497264724,222.9446655902062,0,10.43591754904871,0.8202685248115306,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m3_p1_rank07.csv
TM,Ez,TM_m0_p2,8,8,0,2,1,4,105021581.5539591,1,1,2.201089588896465,2.153688669024802,2.080943409484138,0.4543352234447398,77.76232826437125,0,3.495782692077062,0.9999989454473528,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m0_p2_rank08.csv
TM,Ez,TM_m4_p1,9,9,4,1,1,4,105021581.5539591,1,1,2.201089588896465,2.201081834511542,1.899601858300471,0.005842613431713301,1.000000000338901,0,15.87069284512062,0.9459904428763986,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m4_p1_rank09.csv
TM,Ez,TM_m4_p1,10,10,4,1,1,4,105021581.5539591,1,1,2.201089588896465,2.201081834511547,1.899601858300471,0.005842613429661067,0.999999999987648,0,15.8706928451209,0.9459904428763983,tm_sign_only_above_cutoff,helm10_coax_fields_TM_m4_p1_rank10.csv
