family,transverse_label,mode_label,positive_rank,eig_index,m,n,ar_m,b_m,kc_fem,kc_ana,kc_ar_fem,kc_ar_ana,error_percent,rho_abs,field_status,fields_csv_file,vtk_file
TE,Et,TE_m1_n0,1,171,1,0,1,0.5,3.143326808562004,3.141592653589793,3.143326808562004,3.141592653589793,0.05519986718295274,0.9999999644788403,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m1_n0_rank01.csv,edge_rect_te_m1_n0_rank01_Et.vtk
TE,Et,TE_m0_n1,2,172,0,1,1,0.5,6.233207968550831,6.283185307179586,6.233207968550831,6.283185307179586,0.7954140485343951,0.9999949505167389,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m0_n1_rank02.csv,edge_rect_te_m0_n1_rank02_Et.vtk
TE,Et,TE_m2_n0,3,173,2,0,1,0.5,6.296639159213065,6.283185307179586,6.296639159213065,6.283185307179586,0.2141247054755067,0.9999681588174466,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m2_n0_rank03.csv,edge_rect_te_m2_n0_rank03_Et.vtk
TE,Et,TE_m1_n1,4,174,1,1,1,0.5,6.99714344296665,7.024814731040727,6.99714344296665,7.024814731040727,0.39390772758468,0.9998967972173622,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m1_n1_rank04.csv,edge_rect_te_m1_n1_rank04_Et.vtk
TE,Et,TE_m2_n1,5,175,2,1,1,0.5,8.911257138859529,8.885765876316732,8.911257138859529,8.885765876316732,0.2868774948340576,0.999778767400428,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m2_n1_rank05.csv,edge_rect_te_m2_n1_rank05_Et.vtk
TE,Et,TE_m3_n0,6,176,3,0,1,0.5,9.468452310785107,9.424777960769379,9.468452310785107,9.424777960769379,0.4633992460885776,0.9996533162623176,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m3_n0_rank06.csv,edge_rect_te_m3_n0_rank06_Et.vtk
TE,Et,TE_m3_n1,7,177,3,1,1,0.5,11.42744188027767,11.32717339913898,11.42744188027767,11.32717339913898,0.8852030211377795,0.9997465349548028,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m3_n1_rank07.csv,edge_rect_te_m3_n1_rank07_Et.vtk
TE,Et,TE_m0_n2,8,178,0,2,1,0.5,12.18087406916234,12.56637061435917,12.18087406916234,12.56637061435917,3.067684035646185,0.9997821036766898,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m0_n2_rank08.csv,edge_rect_te_m0_n2_rank08_Et.vtk
TE,Et,TE_m1_n2,9,179,1,2,1,0.5,12.61297057384096,12.95311834341519,12.61297057384096,12.95311834341519,2.625991367917555,0.9996565250342394,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m1_n2_rank09.csv,edge_rect_te_m1_n2_rank09_Et.vtk
TE,Et,TE_m4_n0,10,180,4,0,1,0.5,12.66107795395136,12.56637061435917,12.66107795395136,12.56637061435917,0.7536570621589375,0.9997268690457995,cell_centroid_unit_peak_normalized,edge_rect_fields_TE_m4_n0_rank10.csv,edge_rect_te_m4_n0_rank10_Et.vtk
