node_id,x_m,y_m,Hz
0,0,0,0.9723648377588917
1,0.1,0,0.7700300446423516
2,0.2,0,0.2855561214755986
3,0.3,0,-0.305597872478001
4,0.4,0,-0.7768812342843673
5,0.5,0,-0.9524068958669538
6,0.6,0,-0.7702644106751625
7,0.7,0,-0.2985199265329808
8,0.8,0,0.2887504487861631
9,0.9,0,0.7683866382360287
10,1,0,0.9437164886793254
11,0,0.025,0.9204167846785775
12,0.1,0.025,0.7330078159090545
13,0.2,0.025,0.2731847617851055
14,0.3,0.025,-0.2891831589085587
15,0.4,0.025,-0.738091239205545
16,0.5,0.025,-0.9059945722283742
17,0.6,0.025,-0.7336793713000512
18,0.7,0.025,-0.2855381014932996
19,0.8,0.025,0.273080276726353
20,0.9,0.025,0.7309803075950593
21,1,0.025,0.9062389700772143
22,0,0.05,0.7730478714529957
23,0.1,0.05,0.6171873604175223
24,0.2,0.05,0.2299348573786923
25,0.3,0.05,-0.2439599443215665
26,0.4,0.05,-0.6216071806145668
27,0.5,0.05,-0.7624976423214159
28,0.6,0.05,-0.6174693208164909
29,0.7,0.05,-0.2405598401431337
30,0.8,0.05,0.2296135817885659
31,0.9,0.05,0.6157744029168614
32,1,0.05,0.7721352458004701
33,0,0.075,0.5460094851303643
34,0.1,0.075,0.4362845116674043
35,0.2,0.075,0.1622686189938478
36,0.3,0.075,-0.1726877326372765
37,0.4,0.075,-0.4384610024188621
38,0.5,0.075,-0.5370368517678848
39,0.6,0.075,-0.4350905165519901
40,0.7,0.075,-0.1702708112835333
41,0.8,0.075,0.1610251204539012
42,0.9,0.075,0.4340992299697536
43,1,0.075,0.5481122239150139
44,0,0.1,0.2663443504546572
45,0.1,0.1,0.2137067928616645
46,0.2,0.1,0.07886561138746287
47,0.3,0.1,-0.08496881932506001
48,0.4,0.1,-0.212917162395903
49,0.5,0.1,-0.2593353495020977
50,0.6,0.1,-0.2104639466354933
51,0.7,0.1,-0.0837264077363153
52,0.8,0.1,0.07662213270109439
53,0.9,0.1,0.2103893137108803
54,1,0.1,0.2679389291812331
55,0,0.125,-0.03776373586643585
56,0.1,0.125,-0.02799618503311357
57,0.2,0.125,-0.0118173412694193
58,0.3,0.125,0.01002733912264188
59,0.4,0.125,0.03167926281158363
60,0.5,0.125,0.04194438219628429
61,0.6,0.125,0.03330134173926314
62,0.7,0.125,0.01027874666070852
63,0.8,0.125,-0.01473145049525552
64,0.9,0.125,-0.03207265417828086
65,1,0.125,-0.03765177234727846
66,0,0.15,-0.337994305424565
67,0.1,0.15,-0.2664791384762412
68,0.2,0.15,-0.1013982917888153
69,0.3,0.15,0.1034276768919532
70,0.4,0.15,0.2725465164147876
71,0.5,0.15,0.3387544560121929
72,0.6,0.15,0.2735339284265452
73,0.7,0.15,0.1030482592878704
74,0.8,0.15,-0.1044896653040262
75,0.9,0.15,-0.2706107783856683
76,1,0.15,-0.3389913710296398
77,0,0.175,-0.6062209647797194
78,0.1,0.175,-0.4793430625152433
79,0.2,0.175,-0.1814779631338615
80,0.3,0.175,0.1865674485641456
81,0.4,0.175,0.4872371582846185
82,0.5,0.175,0.6033747043274834
83,0.6,0.175,0.4877587229192128
