node_id,x_m,y_m,Hz
0,0,0,-0.9999999997492668
1,0.1,0,-0.5825030672439586
2,0.2,0,0.307800389812737
3,0.3,0,0.9439406663398613
4,0.4,0,0.8025029011207977
5,0.5,0,0.0002266853277851999
6,0.6,0,-0.8012867230851188
7,0.7,0,-0.9415870791168758
8,0.8,0,-0.3055815139465844
9,0.9,0,0.5812173085741126
10,1,0,0.9731160379739766
11,0,0.025,-0.9686664942293367
12,0.1,0.025,-0.5721986002405294
13,0.2,0.025,0.2991068836138605
14,0.3,0.025,0.9234331990849597
15,0.4,0.025,0.7872067155590771
16,0.5,0.025,0.002752153951568856
17,0.6,0.025,-0.7830418200370188
18,0.7,0.025,-0.9226713939579467
19,0.8,0.025,-0.3014869331258167
20,0.9,0.025,0.5676616207163108
21,1,0.025,0.9610968744143257
22,0,0.05,-0.9504846124207346
23,0.1,0.05,-0.5631038397662066
24,0.2,0.05,0.2946459198496951
25,0.3,0.05,0.9089637204331877
26,0.4,0.05,0.7746335290894839
27,0.5,0.05,0.002419682748096382
28,0.6,0.05,-0.7708986157966551
29,0.7,0.05,-0.9080840962700666
30,0.8,0.05,-0.2964575204582398
31,0.9,0.05,0.5591036372972292
32,1,0.05,0.9481652913094017
33,0,0.075,-0.9383210254085286
34,0.1,0.075,-0.5557506303942271
35,0.2,0.075,0.2909109256773815
36,0.3,0.075,0.896863990293316
37,0.4,0.075,0.764046051415831
38,0.5,0.075,0.002036236448949129
39,0.6,0.075,-0.7608220669565881
40,0.7,0.075,-0.8958887689540738
41,0.8,0.075,-0.2922159643378845
42,0.9,0.075,0.5518340256716349
43,1,0.075,0.936246000650518
44,0,0.1,-0.9308015025223327
45,0.1,0.1,-0.5507945063917832
46,0.2,0.1,0.2883483961215723
47,0.3,0.1,0.8886060844602692
48,0.4,0.1,0.7567563591858064
49,0.5,0.1,0.001673551443920643
50,0.6,0.1,-0.754037110055382
51,0.7,0.1,-0.8875982972456157
52,0.8,0.1,-0.2892953043657437
53,0.9,0.1,0.5468641537533661
54,1,0.1,0.9279975333644284
55,0,0.125,-0.9268315750500252
56,0.1,0.125,-0.5479272407724515
57,0.2,0.125,0.2868850618286737
58,0.3,0.125,0.8839373244304193
59,0.4,0.125,0.7525658039179968
60,0.5,0.125,0.001346135341418807
61,0.6,0.125,-0.750326452599413
62,0.7,0.125,-0.8829729593620301
63,0.8,0.125,-0.2876164949754496
64,0.9,0.125,0.5441985584318276
65,1,0.125,0.9235171111586505
66,0,0.15,-0.9251319287603137
67,0.1,0.15,-0.5464418611952787
68,0.2,0.15,0.2861989904190834
69,0.3,0.15,0.8817518737007477
70,0.4,0.15,0.7505428804528017
