cell_id,xc_m,yc_m,Hx,Hy,Hmag
0,0.06666666666666667,0.008333333333333333,0.006062193538950247,-0.034377733733389,0.03490814757542259
1,0.03333333333333333,0.01666666666666667,-0.003084230641932924,-0.001515548384736981,0.003436475746912358
2,0.1666666666666667,0.008333333333333333,0.1999508299322109,-0.09391655285035176,0.220908698990947
3,0.1333333333333333,0.01666666666666667,0.1712524055212941,-0.01409442536493491,0.1718314267623867
4,0.2666666666666667,0.008333333333333333,0.6468265432172015,-0.1114638273385977,0.6563602378384015
5,0.2333333333333333,0.01666666666666667,0.5987276293113133,-0.01780237547090337,0.5989922359038992
6,0.3666666666666667,0.008333333333333333,0.9974943656452722,-0.07074595752149532,0.9999999999998486
7,0.3333333333333333,0.01666666666666667,0.9368845558820772,0.02379687173157844,0.9371867274746086
8,0.4666666666666666,0.008333333333333333,0.9639033189719086,-0.02737782326937076,0.9642920478423691
9,0.4333333333333333,0.01666666666666667,0.901212326928028,0.07914371918983011,0.9046808202312181
10,0.5666666666666668,0.008333333333333333,0.6994090399006663,-0.0289106637443262,0.7000063082379396
11,0.5333333333333333,0.01666666666666667,0.6416535902237975,0.09350139303721605,0.6484302895045766
12,0.6666666666666666,0.008333333333333333,0.5593432844673971,-0.05280477233493294,0.5618302713988627
13,0.6333333333333333,0.01666666666666667,0.5080335759811323,0.06392710260263847,0.5120398312351737
14,0.7666666666666666,0.008333333333333333,0.6154219656816763,-0.04266348535883772,0.6168989940228968
15,0.7333333333333334,0.01666666666666667,0.5717423508391387,0.03878510203137684,0.5730563671076774
16,0.8666666666666667,0.008333333333333333,0.5885083350900491,0.01403326775459075,0.5886756263633934
17,0.8333333333333334,0.01666666666666667,0.5583010722339712,0.0493918930067292,0.5604816199951521
18,0.9666666666666667,0.008333333333333333,0.2513077936361103,0.06282694840902932,0.2590421444256525
19,0.9333333333333332,0.01666666666666667,0.240490824996208,0.07026686760887227,0.2505459430741586
20,0.06666666666666667,0.03333333333333333,-0.00517342938651852,-0.08712330886657965,0.08727677422704583
21,0.03333333333333333,0.04166666666666666,-0.02893214590759087,0.0005488666223753935,0.02893735166505887
22,0.1666666666666667,0.03333333333333333,0.1528128324178152,-0.2523020662058176,0.2949713449867292
23,0.1333333333333333,0.04166666666666666,0.07796085090103115,-0.04442957472363031,0.08973227615153569
24,0.2666666666666667,0.03333333333333333,0.548710833910861,-0.3059189384965496,0.6282276467826039
25,0.2333333333333333,0.04166666666666666,0.4204940964616934,-0.06526016843619664,0.425528112753384
26,0.3666666666666667,0.03333333333333333,0.8644366185435697,-0.1981894523121069,0.886865111776765
27,0.3333333333333333,0.04166666666666666,0.6977193501876046,0.05478130508865043,0.6998666180161967
28,0.4666666666666666,0.03333333333333333,0.8326576430726861,-0.07888194245590843,0.8363857431908903
29,0.4333333333333333,0.04166666666666666,0.6560563570484221,0.2234500150866608,0.6930655473083882
30,0.5666666666666668,0.03333333333333333,0.5909418859642421,-0.08131311349054768,0.5965099622072561
31,0.5333333333333333,0.04166666666666666,0.4277332313825137,0.2703241356769348,0.5059949165341574
32,0.6666666666666666,0.03333333333333333,0.465985021989106,-0.1479088919976397,0.4888957772881221
33,0.6333333333333333,0.04166666666666666,0.3229127910381903,0.1809737719033117,0.3701677683604906
34,0.7666666666666666,0.03333333333333333,0.5266669860888088,-0.1238690620185375,0.5410375761083714
35,0.7333333333333334,0.04166666666666666,0.4050706471888419,0.1027915369546491,0.417909474986493
36,0.8666666666666667,0.03333333333333333,0.5179533639189432,0.03003578533514102,0.5188235110282184
37,0.8333333333333334,0.04166666666666666,0.4308509803496823,0.1361361948602431,0.4518469108219159
38,0.9666666666666667,0.03333333333333333,0.2259124952694616,0.1794277784754254,0.288497457887415
39,0.9333333333333332,0.04166666666666666,0.1933749937308472,0.2067271290001292,0.2830724184109805
40,0.06666666666666667,0.05833333333333333,-0.03045423981483459,-0.1117668300702894,0.1158416377070888
41,0.03333333333333333,0.06666666666666667,-0.06287101631286994,0.01539546305297946,0.06472854837572688
42,0.1666666666666667,0.05833333333333333,0.04963035044688742,-0.3629188200817339,0.3662966579904856
43,0.1333333333333333,0.06666666666666667,-0.05375148260736271,-0.06653045028750391,0.08553082893289206
44,0.2666666666666667,0.05833333333333333,0.3346021474752314,-0.4463077102542287,0.5578074661811269
