node_id,x_m,y_m,psi,dpsi_dx,dpsi_dy,Ex,Ey
0,0,0,-1.168020070082259e-14,-2.45513312539901,-8.884859362058304,2.45513312539901,8.884859362058304
1,0.125,0,-0.3068916406748874,-1.026438931793284,-7.951440060514743,1.026438931793284,7.951440060514743
2,0.1141931822053251,0.05084208038447502,-0.732084198217556,-0.4512700150642277,-7.125249620437372,0.4512700150642277,7.125249620437372
3,0.08364132579485728,0.09289310318467427,-1.03069274711226,-0.6803860394568995,-6.14498650605786,0.6803860394568995,6.14498650605786
4,0.03862712429686843,0.1188820645368942,-1.151085156481601,-1.562172044842751,-5.659328841903246,1.562172044842751,5.659328841903246
5,-0.01306605790845667,0.1243152369210342,-1.072444485014918,-2.513116029375279,-5.989655141685546,2.513116029375279,5.989655141685546
6,-0.06249999999999997,0.1082531754730548,-0.8083684192368732,-2.903941473956468,-6.917375680379312,2.903941473956468,6.917375680379312
7,-0.1011271242968684,0.07347315653655916,-0.4045181099762423,-2.476024022850143,-7.82858179377245,2.476024022850143,7.82858179377245
8,-0.1222684500917257,0.02598896135221991,0.06927705543093879,-1.512533251208339,-8.120293053424078,1.512533251208339,8.120293053424078
9,-0.1222684500917257,-0.02598896135221988,0.5310935885918218,-0.6510483738149161,-7.599472804135703,0.6510483738149161,7.599472804135703
10,-0.1011271242968684,-0.07347315653655913,0.9010792154513957,-0.461647348698246,-6.610768006063418,0.461647348698246,6.610768006063418
11,-0.06250000000000006,-0.1082531754730548,1.11526005991174,-1.069664180529046,-5.808442973263812,1.069664180529046,5.808442973263812
12,-0.01306605790845678,-0.1243152369210342,1.13660230819377,-2.072750548364346,-5.723427299947898,2.072750548364346,5.723427299947898
13,0.0386271242968684,-0.1188820645368942,0.9614156916812971,-2.807125295613461,-6.411979154675741,2.807125295613461,6.411979154675741
14,0.08364132579485731,-0.09289310318467425,0.6199915678897551,-2.786824167621108,-7.418457068118864,2.786824167621108,7.418457068118864
15,0.1141931822053251,-0.05084208038447502,0.1713652695635006,-2.025281208205304,-8.076835566408956,2.025281208205304,8.076835566408956
16,0.25,0,-0.4030390309024699,0.6321724229502884,-5.677476461426905,-0.6321724229502884,5.677476461426905
17,0.2283863644106502,0.10168416076895,-1.024880502572689,2.216872983924779,-3.961151288243717,-2.216872983924779,3.961151288243717
18,0.1672826515897146,0.1857862063693485,-1.469510824601014,2.001766459899236,-1.63504356258334,-2.001766459899236,1.63504356258334
19,0.07725424859373686,0.2377641290737884,-1.660049374969087,0.1291971812188424,-0.2384289899121742,-0.1291971812188424,0.2384289899121742
20,-0.02613211581691333,0.2486304738420684,-1.563550307329891,-2.161683128540394,-0.6955016038503705,2.161683128540394,0.6955016038503705
21,-0.1249999999999999,0.2165063509461097,-1.196699187144744,-3.354910111389539,-2.703798727150534,3.354910111389539,2.703798727150534
22,-0.2022542485937368,0.1469463130731183,-0.622927905831463,-2.66087919074546,-4.934352256937455,2.66087919074546,4.934352256937455
23,-0.2445369001834514,0.05197792270443983,0.05855326952243264,-0.5388575463716249,-5.911118405441781,0.5388575463716249,5.911118405441781
24,-0.2445369001834514,-0.05197792270443977,0.7299100526361475,1.606930792197336,-4.987733126093899,-1.606930792197336,4.987733126093899
25,-0.2022542485937369,-0.1469463130731183,1.275058756624428,2.356534452032342,-2.775236273843749,-2.356534452032342,2.775236273843749
26,-0.1250000000000001,-0.2165063509461096,1.599738218047184,1.213911616331756,-0.7377228325652038,-1.213911616331756,0.7377228325652038
27,-0.02613211581691356,-0.2486304738420683,1.647808408404116,-1.064819865286826,-0.2234944759613381,1.064819865286826,0.2234944759613381
28,0.07725424859373681,-0.2377641290737884,1.410957555078535,-2.971734985635137,-1.572836053117324,2.971734985635137,1.572836053117324
29,0.1672826515897146,-0.1857862063693485,0.9301393223329042,-3.244954045523705,-3.892835905136431,3.244954045523705,3.892835905136431
30,0.2283863644106502,-0.10168416076895,0.2884915507054405,-1.703677395599439,-5.648260143448519,1.703677395599439,5.648260143448519
31,0.375,0,-0.2858321607513132,1.631258727153961,-2.884270103106799,-1.631258727153961,2.884270103106799
32,0.3425795466159753,0.1525262411534251,-0.7818290015695842,4.152845652968897,-0.674442428565258,-4.152845652968897,0.674442428565258
33,0.2509239773845718,0.2786793095540228,-1.14264050532296,4.197894640093738,2.67812517916015,-4.197894640093738,-2.67812517916015
34,0.1158813728906053,0.3566461936106826,-1.305879085142882,1.736595026420204,4.954908697051335,-1.736595026420204,-4.954908697051335
35,-0.03919817372537,0.3729457107631025,-1.243319307602547,-1.602315766561011,4.649272161074789,1.602315766561011,-4.649272161074789
36,-0.1874999999999999,0.3247595264191645,-0.9657783265764333,-3.60935095985882,1.963467121896828,3.60935095985882,-1.963467121896828
37,-0.3033813728906052,0.2204194696096775,-0.5212454990646113,-2.956377518627485,-1.325205050980347,2.956377518627485,1.325205050980347
38,-0.3668053502751771,0.07796688405665975,0.01341541060217564,-0.07549329599496378,-3.040502422108023,0.07549329599496378,3.040502422108023
39,-0.3668053502751771,-0.07796688405665965,0.5457566739006783,3.126908876253225,-2.047346189287657,-3.126908876253225,2.047346189287657
40,-0.3033813728906053,-0.2204194696096774,0.9837316502380252,4.531675268263476,0.9970536463923328,-4.531675268263476,-0.9970536463923328
