ordered_rank,solver_index,lambda
216,215,609.9857105737672
217,216,615.8976091740251
218,217,624.2206712591185
219,218,652.2899809950801
220,219,674.5106539196694
221,220,678.663306664695
222,221,694.9510924115935
223,222,704.9337861333095
224,223,705.1234382269662
225,224,719.6390940616535
226,225,730.610436339257
227,226,736.6792612376086
228,227,738.713462020247
229,228,746.6715402864972
230,229,757.2619317601676
231,230,769.0385176910123
232,231,801.6189224368436
233,232,824.1016217775893
234,233,826.1851504689149
235,234,847.2216286722726
236,235,847.5534897128559
237,236,853.9915907344455
238,237,902.1752199083372
239,238,907.0227048147209
240,239,910.7716455077837
241,240,925.1366542835743
242,241,955.9918509597959
243,242,973.9012672304809
244,243,982.3736713383668
245,244,987.8012569241315
246,245,1024.535512104879
247,246,1024.848553123571
248,247,1028.101118931425
249,248,1046.99941355535
250,249,1067.800467166497
251,250,1082.478006235093
252,251,1086.258137808138
253,252,1096.293860615821
254,253,1106.815448973176
255,254,1127.627772331992
256,255,1137.95456905084
257,256,1146.395554725727
258,257,1149.351484498497
259,258,1201.128837612408
260,259,1209.130950505169
261,260,1224.431207709081
262,261,1251.764024576996
263,262,1256.224428124525
264,263,1257.952572837546
265,264,1262.65421286525
266,265,1279.836282644956
267,266,1294.16185623258
268,267,1301.102498990764
269,268,1303.454911028609
270,269,1315.806722564211
271,270,1322.135487937107
272,271,1368.642939234962
273,272,1373.551567286709
274,273,1398.932756275718
275,274,1404.024441162859
276,275,1414.008785244597
277,276,1422.39121807153
278,277,1448.248860418833
279,278,1453.005146095352
280,279,1486.515881545349
281,280,1492.743388344681
282,281,1516.742649359067
283,282,1521.86402301869
284,283,1529.832606086368
285,284,1535.738787633206
286,285,1536.356847601136
287,286,1559.372179758952
288,287,1563.007741112664
289,288,1569.540539463786
290,289,1575.954454960751
291,290,1593.483948616503
292,291,1604.17232389976
293,292,1615.280487622998
294,293,1620.895326583453
295,294,1631.968598695288
296,295,1640.836880382492
297,296,1656.277872566716
298,297,1670.532555906005
299,298,1671.210594990827
300,299,1683.635699132189
301,300,1702.148511507355
302,301,1714.968072462696
303,302,1719.57269591396
304,303,1727.269863706684
305,304,1738.188032863168
306,305,1740.535492083366
307,306,1761.863016023277
308,307,1769.443025094247
309,308,1774.614362693337
310,309,1789.568004932148
311,310,1791.854195158705
312,311,1798.726063217997
313,312,1803.239445721313
314,313,1812.82751485845
315,314,1829.664557515838
316,315,1845.442990862461
317,316,1847.565925649925
318,317,1848.78661180486
319,318,1850.290060477828
320,319,1859.166897239719
321,320,1864.313687732964
322,321,1869.807178442092
323,322,1874.234071258973
324,323,1874.839546130202
325,324,1899.047799985881
326,325,1905.870769858403
