ordered_rank,solver_index,lambda_real,lambda_imag,beta_denominator
1,0,-3585.784619221421,0,0.003980605836195175
2,1,-3452.669167540844,0,0.003982928762239293
3,2,-3348.359022659666,0,0.00400404587463621
4,3,-3221.544456905303,0,0.00402417287754967
5,5,-3094.497240376325,0,0.004258522548061509
6,4,-3085.979755130237,0,0.00417151193675957
7,6,-2966.108948148873,0,0.004250213380202446
8,7,-2942.742630908396,0,0.004183283274924498
9,8,-2831.753964180295,0,0.004296803919258785
10,9,-2798.256382609096,0,0.00418232387645688
11,10,-2683.497260542239,0,0.004307314419023233
12,11,-2651.210420733608,0,0.00420255976915881
13,12,-2543.370246265689,0,0.004835270754049083
14,13,-2527.544783980815,0,0.004191559585602182
15,14,-2500.688915809475,0,0.004424464324647354
16,15,-2420.964990468304,0,0.004048551346229689
17,16,-2413.465353820462,0,0.004597527999120193
18,17,-2375.09616801558,0,0.004552055980666475
19,18,-2285.464827224038,0,0.004322483931190721
20,19,-2260.131749697459,0,0.004374320081876866
21,20,-2243.591782489944,0,0.004697288357796865
22,21,-2144.842947525968,0,0.004896684279240197
23,22,-2124.803530151541,0,0.004917413369506031
24,23,-2082.180818463184,0,0.005257208706882232
25,24,-2053.570930364681,0,0.004992825268845305
26,25,-2026.497536232104,0,0.004791010494357496
27,26,-1992.174096225117,0,0.005329102010176308
28,27,-1969.805080109013,0,0.005111280070111863
29,28,-1928.232171776715,0,0.005408611488517089
30,29,-1887.859001967736,0,0.005271500106878477
31,30,-1872.594819942198,0,0.005152200532273057
32,31,-1864.491373728575,0,0.005347540622559228
33,32,-1838.6150847002,0,0.005519882331184355
34,33,-1817.62394054946,0,0.005591489546717267
35,34,-1783.410543810062,0,0.005589387627451221
36,35,-1747.675383258972,0,0.005546951539504887
37,36,-1736.909805720666,0,0.005859424765951229
38,37,-1695.584432791384,0,0.005626150235761321
39,38,-1669.762292897456,0,0.005684915777047416
40,39,-1641.379680555402,0,0.005928255855874095
41,40,-1634.128816006212,0,0.005817073308228861
42,41,-1573.105803883246,0,0.005934867696210447
43,42,-1530.520050726288,0,0.00589515839277722
44,43,-1500.461879880721,0,0.005939762797304185
45,44,-1425.551614391695,0,0.006072231940154298
46,45,-1329.988711437736,0,0.006149248325160982
47,46,-1255.792312704163,0,0.006133003700189517
48,47,-1203.3889195739,0,0.006076839056742427
49,48,-1158.669472540476,0,0.005970103049834178
50,49,-1094.923410476837,0,0.005665254428912599
51,50,-1067.27237939262,0,0.005979129653933255
52,51,-1022.866934013622,0,0.005820896590821409
53,52,-967.7973049630983,0,0.005516626398366779
54,53,-922.5544446997462,0,0.005385662633187491
55,54,-868.6105027934656,0,0.005433570917775716
56,55,-825.8294173825872,0,0.005278458155731636
57,56,-749.527226493131,0,0.00545367921641378
58,57,-716.6255667870336,0,0.00534265383968164
59,58,-696.1775396539824,0,0.005137211951463057
