cell_id,xc_m,yc_m,Ex,Ey,Emag
0,0.06666666666666667,0.03,-0.01417637635988569,-0.0007207694348803197,0.01419468757230618
1,0.03333333333333333,0.06,-0.05421431508677423,0.01400714993089477,0.0559945730362738
2,0.1666666666666667,0.03,-0.006204686702058869,-0.04549356881400002,0.0459147355486761
3,0.1333333333333333,0.06,-0.07556340163900954,0.01985416676154733,0.07812819980681496
4,0.2666666666666667,0.03,-0.01310190364855019,-0.1928157774893917,0.1932604044496816
5,0.2333333333333333,0.06,-0.1626016666309902,-0.0399310364650577,0.1674329407982474
6,0.3666666666666667,0.03,-0.004621595100100887,-0.02179807185524852,0.02228261829040417
7,0.3333333333333333,0.06,0.1218279304978456,-0.1728453785887074,0.2114652915938252
8,0.4666666666666666,0.03,-0.0003143345454486451,-0.006196667762170377,0.006204635167452155
9,0.4333333333333333,0.06,0.009016017982004507,-0.01678797646026551,0.0190558320175808
10,0.5666666666666668,0.03,-0.0001303180597582062,-0.004066513086463223,0.004068600678252388
11,0.5333333333333333,0.06,0.001185826320130424,-0.005760550365538018,0.00588133697176197
12,0.6666666666666666,0.03,-0.0001127303751825483,-0.00230184793399901,0.002304606701531588
13,0.6333333333333333,0.06,0.0009671778383166372,-0.003774358581855298,0.003896307954378809
14,0.7666666666666666,0.03,-8.063934004823166e-05,-0.001237339105739449,0.001239964017927743
15,0.7333333333333334,0.06,0.0004922603180209139,-0.002070042754833023,0.002127768132935246
16,0.8666666666666667,0.03,-5.686048076124819e-05,-0.0005573556550769082,0.0005602485524466884
17,0.8333333333333334,0.06,0.0002871138245541546,-0.001075233739312856,0.001112906978326051
18,0.9666666666666667,0.03,-4.63170263331664e-05,-5.146336259240711e-05,6.92368732516482e-05
19,0.9333333333333332,0.06,0.0002074910008684509,-0.0004395564937088441,0.000486068335322313
20,0.06666666666666667,0.12,-0.06322932032600824,0.07140764438171114,0.09537818736500438
21,0.03333333333333333,0.15,0.01465192556784254,-0.00556829791763305,0.01567433777054439
22,0.1666666666666667,0.12,-0.06228031573184702,0.2012448946239376,0.210661684555731
23,0.1333333333333333,0.15,0.09446171675318198,0.05704331946974737,0.110349246613133
24,0.2666666666666667,0.12,-0.1118797573895255,0.6137784991745335,0.6238919186545711
25,0.2333333333333333,0.15,0.3607332314644277,0.1626707861633682,0.3957148581412841
26,0.3666666666666667,0.12,0.1306188020960829,0.03804213594353974,0.1360458583278537
27,0.3333333333333333,0.15,-0.2622168488735915,0.524229471045994,0.5861520401281213
28,0.4666666666666666,0.12,0.009659205442721659,-0.004266452901121573,0.0105594919452686
29,0.4333333333333333,0.15,-0.012245333238818,0.0217616692641745,0.02497035112474428
30,0.5666666666666668,0.12,0.0009591345347908878,-0.003028613271386082,0.00317685967638554
31,0.5333333333333333,0.15,0.001786744488758314,-0.00448464911063575,0.004827476930409324
32,0.6666666666666666,0.12,0.0006981701672883953,-0.001955145373015229,0.002076062381556576
33,0.6333333333333333,0.15,0.001002862937395629,-0.00265441197382704,0.002837540660148881
34,0.7666666666666666,0.12,0.0003067218786064472,-0.001074279695463073,0.001117208653251531
35,0.7333333333333334,0.15,0.0006476002585424436,-0.001678121343485988,0.001798743266374459
36,0.8666666666666667,0.12,0.0001615969865882131,-0.0004868548981874229,0.0005129729797596332
37,0.8333333333333334,0.15,0.0003975643973159844,-0.0008953365221643496,0.0009796351044825695
38,0.9666666666666667,0.12,0.0001103202955774065,-5.334660091226093e-05,0.0001225415335516019
39,0.9333333333333332,0.15,0.000288481690843456,-0.000362274076136978,0.0004631027879346013
40,0.06666666666666667,0.21,0.02019560258470591,-0.07697893299322718,0.0795840341308176
41,0.03333333333333333,0.24,-0.03930104369871865,-0.005140102510825715,0.03963575014592748
42,0.1666666666666667,0.21,0.08726180855543703,-0.3008693677712386,0.3132682551670861
43,0.1333333333333333,0.24,-0.1308750343247422,-0.07721955978820813,0.1519576751052315
44,0.2666666666666667,0.21,0.3061439224411073,-0.9519852408269643,1
45,0.2333333333333333,0.24,-0.4214719282324071,-0.2528326559214992,0.4914905270585208
46,0.3666666666666667,0.21,-0.2530225096606957,-0.07889051186093514,0.2650360414296086
47,0.3333333333333333,0.24,0.323078252382195,-0.8078240941097581,0.8700340936920716
48,0.4666666666666666,0.21,-0.01349457967016806,-0.008224474958885567,0.01580334359633583
49,0.4333333333333333,0.24,0.01591564824131722,-0.04898709504581338,0.05150770175390179
50,0.5666666666666668,0.21,0.000944458377013114,-0.003437163589250121,0.003564561005955294
51,0.5333333333333333,0.24,0.001038196489522092,-0.004921032115312331,0.005029354733043927
52,0.6666666666666666,0.21,0.0006108457619641535,-0.00175727335326735,0.001860414519136272
53,0.6333333333333333,0.24,0.0008598051020496125,-0.002566513769773108,0.002706706068997059
54,0.7666666666666666,0.21,0.0004265172484191988,-0.0009342410064792472,0.001026997186649721
55,0.7333333333333334,0.24,0.0005774594356687551,-0.001376498049866858,0.001492717749988303
56,0.8666666666666667,0.21,0.0002594673975224888,-0.0004236729573840933,0.0004968119414785407
57,0.8333333333333334,0.24,0.0003834694909708425,-0.0007248160543952152,0.0008200043678020774
58,0.9666666666666667,0.21,0.0001854427226833458,-5.686397393883234e-05,0.0001939652415468516
59,0.9333333333333332,0.24,0.0002861244005415925,-0.0002875834419008646,0.0004056740177048977
60,0.06666666666666667,0.3,-0.02156531996477321,0.08576818186074492,0.08843779760306596
61,0.03333333333333333,0.33,0.07956271338196111,-0.006015021221034227,0.07978976025148582
62,0.1666666666666667,0.3,-0.1026559423314076,0.2307674644573149,0.2525705151992358
63,0.1333333333333333,0.33,0.1025126817723084,0.0528547571539894,0.1153363571384052
64,0.2666666666666667,0.3,-0.3882268828729447,0.7709260713059368,0.8631611205357025
65,0.2333333333333333,0.33,0.2562553854367691,0.1602493845625858,0.3022361457834497
66,0.3666666666666667,0.3,0.2769497121481498,0.03052384292535834,0.2786267181120199
67,0.3333333333333333,0.33,-0.2168656084697617,0.6483962031219221,0.683701929469184
68,0.4666666666666666,0.3,0.01085942288758598,-0.005020185625282307,0.01196366704500411
69,0.4333333333333333,0.33,-0.003493089619539664,0.01408429561670415,0.01451099783298335
70,0.5666666666666668,0.3,-6.942449061834276e-05,-0.003226721424175008,0.003227468188708853
71,0.5333333333333333,0.33,0.0005959709104581134,-0.004690021655295041,0.004727735658140027
72,0.6666666666666666,0.3,0.0003622592345310541,-0.001638270143695133,0.001677844097860674
73,0.6333333333333333,0.33,0.0006578353506167794,-0.002512306743313709,0.002597004528494442
74,0.7666666666666666,0.3,0.0003168319573843264,-0.000801297737820178,0.0008616615077022521
75,0.7333333333333334,0.33,0.000422414858669457,-0.0012227415928467,0.001293650383875807
76,0.8666666666666667,0.3,0.0002304021258654018,-0.000355427426018895,0.0004235726558333452
77,0.8333333333333334,0.33,0.0002632360630334346,-0.0005694073146488193,0.0006273100627735234
78,0.9666666666666667,0.3,0.0001759258047165747,-6.045592118042717e-05,0.0001860236736841535
79,0.9333333333333332,0.33,0.0001961185512756284,-0.000208980622047095,0.0002865927189334057
80,0.06666666666666667,0.39,0.07290237361470348,-0.007457565906585571,0.07328281768538161
81,0.03333333333333333,0.42,0.01803890181086268,0.02004322423429187,0.02696540035393596
82,0.1666666666666667,0.39,0.1117388393867743,-0.07198226841065165,0.1329173246535095
