cell_id,xc_m,yc_m,Ex,Ey,Emag
0,0.06666666666666667,0.03,-0.09045826015089341,0.5058487906639163,0.5138732293529926
1,0.03333333333333333,0.06,0.07260034189245311,0.1120816941129359,0.1335406896722
2,0.1666666666666667,0.03,-0.02403240292593797,0.7895186249658986,0.7898843051728766
3,0.1333333333333333,0.06,0.01876704672796061,0.6608094897988279,0.6610759289605671
4,0.2666666666666667,0.03,0.05461575839639301,0.5609438801332143,0.5635964138673338
5,0.2333333333333333,0.06,-0.0574863987582161,0.781203651703412,0.7833159206073462
6,0.3666666666666667,0.03,0.09486970008606473,-0.02482347182983813,0.09806357503225464
7,0.3333333333333333,0.06,-0.1056157888118799,0.4018043322559193,0.4154532660432227
8,0.4666666666666666,0.03,0.07165416989863696,-0.5811075886975503,0.5855086247919359
9,0.4333333333333333,0.06,-0.09049475217348146,-0.2257803125499772,0.2432407237822344
10,0.5666666666666668,0.03,0.03258180716394899,-0.8894625296682996,0.8900590799727844
11,0.5333333333333333,0.06,-0.05689551235795219,-0.7072823054122509,0.7095670221168275
12,0.6666666666666666,0.03,0.0003692284830004012,-0.9780774039318064,0.9780774736244847
13,0.6333333333333333,0.06,-0.02347690083927213,-0.9384179942215396,0.9387116153280487
14,0.7666666666666666,0.03,-0.03226882697911398,-0.8440510815560021,0.8446676893728473
15,0.7333333333333334,0.06,0.01269339044876343,-0.9541755054605662,0.9542599317701711
16,0.8666666666666667,0.03,-0.05795538232606101,-0.5191411703398527,0.5223661369981709
17,0.8333333333333334,0.06,0.0430093872632419,-0.7519579731347331,0.7531869626816807
18,0.9666666666666667,0.03,-0.07092296984153493,-0.0788032998239277,0.1060189969499953
19,0.9333333333333332,0.06,0.05998514078084199,-0.3789031784918074,0.3836219959617695
20,0.06666666666666667,0.12,-0.1171393158828422,0.5053102975749851,0.518710050182971
21,0.03333333333333333,0.15,0.05184424833146892,0.1094053169608459,0.1210675409197617
22,0.1666666666666667,0.12,-0.0531072967041283,0.7901483465245294,0.7919310541194026
23,0.1333333333333333,0.15,-0.002364971777284385,0.6562047852637835,0.6562090469466232
24,0.2666666666666667,0.12,0.02965669371544269,0.56198959013951,0.5627715512597505
25,0.2333333333333333,0.15,-0.07637491422008061,0.7785838549478908,0.7823208719621656
26,0.3666666666666667,0.12,0.07893583174473845,-0.02759226673222916,0.08361936807137529
27,0.3333333333333333,0.15,-0.1196931501353141,0.3999450806658713,0.4174715771620209
28,0.4666666666666666,0.12,0.06804136258027474,-0.5935694695053625,0.5974565608901269
29,0.4333333333333333,0.15,-0.09827418960030125,-0.2311817433916704,0.2512027364882957
30,0.5666666666666668,0.12,0.01806190140518799,-0.9038704495526334,0.904050895611995
31,0.5333333333333333,0.15,-0.07052237087858454,-0.7214455413564295,0.7248841796710755
32,0.6666666666666666,0.12,-0.01123303682820448,-0.9905508556911716,0.9906145460404345
33,0.6333333333333333,0.15,-0.03143851406079681,-0.9539234905712656,0.9544414104752676
34,0.7666666666666666,0.12,-0.04112882295193523,-0.8537672122785338,0.8547572946978989
35,0.7333333333333334,0.15,0.00787910475873742,-0.9675562323633834,0.9675883128051024
36,0.8666666666666667,0.12,-0.06529674029686904,-0.5251221794464235,0.5291662948827699
37,0.8333333333333334,0.15,0.04030350551766185,-0.7624169883519404,0.7634815234730012
38,0.9666666666666667,0.12,-0.07897826721108686,-0.0785606640608322,0.1113972379789767
39,0.9333333333333332,0.15,0.05857828348738708,-0.3854914169720391,0.3899167191278661
40,0.06666666666666667,0.21,-0.1319869971496285,0.5050835111131069,0.5220439834103253
41,0.03333333333333333,0.24,0.04801837386626755,0.1051129604275356,0.1155616661293931
42,0.1666666666666667,0.21,-0.06904961744741374,0.788232036542579,0.7912506512488289
43,0.1333333333333333,0.24,-0.006066464097807508,0.6481230888516574,0.6481514794315163
44,0.2666666666666667,0.21,0.01523651759784131,0.5588974399081574,0.559105088337069
45,0.2333333333333333,0.24,-0.07972763660621242,0.7697010210394254,0.7738192022869077
46,0.3666666666666667,0.21,0.06869004001930533,-0.03407894681842943,0.07667917718720715
47,0.3333333333333333,0.24,-0.122750070271551,0.3908953801522521,0.4097154841790146
48,0.4666666666666666,0.21,0.06298022424539468,-0.6052644940593314,0.6085323462355132
49,0.4333333333333333,0.24,-0.1006035700489897,-0.2422388761221018,0.2622989733329144
50,0.5666666666666668,0.21,0.005872822177912942,-0.9084823150554563,0.9085012970870514
51,0.5333333333333333,0.24,-0.07221175822087475,-0.7357787955210738,0.7393138534910544
52,0.6666666666666666,0.21,-0.01807580284446085,-0.9909523515079209,0.9911171967066003
53,0.6333333333333333,0.24,-0.03169714786158934,-0.9601955158633503,0.9607185528897861
54,0.7666666666666666,0.21,-0.04505169585005352,-0.8523747147161687,0.8535644730109352
55,0.7333333333333334,0.24,0.007712542845794549,-0.969220998751291,0.9692516844130827
56,0.8666666666666667,0.21,-0.06728214680415971,-0.523845376345585,0.528148526076921
57,0.8333333333333334,0.24,0.03991075841853396,-0.7620182376239222,0.7630626862250643
58,0.9666666666666667,0.21,-0.0797740527203922,-0.07819534104546214,0.1117068075304816
59,0.9333333333333332,0.24,0.05838530067187991,-0.3850333771687003,0.3894349045328121
60,0.06666666666666667,0.3,-0.1281444442303131,0.5065460954954064,0.5225035363026141
61,0.03333333333333333,0.33,0.06409745240932568,0.1011602419969046,0.1197575799949133
62,0.1666666666666667,0.3,-0.06573715493457656,0.7884567318051819,0.7911923858757749
63,0.1333333333333333,0.33,0.009922588444493195,0.641723568786027,0.6418002777320321
64,0.2666666666666667,0.3,0.01803122751206697,0.5573874268009722,0.5576790015066024
65,0.2333333333333333,0.33,-0.06626520771794124,0.7628849552252966,0.7657574894592966
66,0.3666666666666667,0.3,0.07072949027580466,-0.04020959799037205,0.08136014113325074
67,0.3333333333333333,0.33,-0.1144510511989776,0.3832880549262065,0.4000109700616543
68,0.4666666666666666,0.3,0.06405643773944897,-0.6188242250868906,0.6221307328610752
69,0.4333333333333333,0.33,-0.09859012275016404,-0.2531169919052159,0.2716398790587227
70,0.5666666666666668,0.3,0.005992358717232379,-0.9198647297453302,0.9198842478227602
71,0.5333333333333333,0.33,-0.0659090287972668,-0.7520545400840427,0.7549371042265839
72,0.6666666666666666,0.3,-0.01699809451186149,-0.9998555219545301,1
73,0.6333333333333333,0.33,-0.02552160233737947,-0.9732905976876022,0.9736251536053068
74,0.7666666666666666,0.3,-0.04418809411277775,-0.8586084377981984,0.8597447511439558
75,0.7333333333333334,0.33,0.01316760413222201,-0.9794194043260019,0.9795079149087481
76,0.8666666666666667,0.3,-0.0668463535978201,-0.526981909939785,0.5312046389039807
77,0.8333333333333334,0.33,0.04487503564987597,-0.7692698693457795,0.7705776409342865
78,0.9666666666666667,0.3,-0.07924826752542634,-0.07779388446619973,0.1110503325799701
