cell_id,xc_m,yc_m,Ex,Ey,Emag
0,0.06666666666666667,0.03,-0.1201432650345537,-0.02502260603338546,0.122721371186379
1,0.03333333333333333,0.06,-0.4917696671193872,0.1272015509001294,0.5079543680785815
2,0.1666666666666667,0.03,-0.1101399920431265,0.07924878523378341,0.1356878322042559
3,0.1333333333333333,0.06,-0.4615386916177991,0.2278919632480322,0.514735573642732
4,0.2666666666666667,0.03,-0.09389402027409224,0.1255237230942283,0.1567555169768138
5,0.2333333333333333,0.06,-0.443040023595221,0.3053817958807631,0.5380915384603385
6,0.3666666666666667,0.03,-0.07569446615879247,0.1227428360117001,0.1442062966699433
7,0.3333333333333333,0.06,-0.4001571387702767,0.3145011832900665,0.5089565109119506
8,0.4666666666666666,0.03,-0.05894917117324275,0.08977324166224356,0.1073975777220318
9,0.4333333333333333,0.06,-0.3426318962068406,0.2731624944031649,0.4381944370332128
10,0.5666666666666668,0.03,-0.04494667990982551,0.05494820964466558,0.07098950470365624
11,0.5333333333333333,0.06,-0.2720887474969493,0.2063299250148662,0.3414737537075125
12,0.6666666666666666,0.03,-0.03234282255817723,0.03512911126857982,0.04775052491386873
13,0.6333333333333333,0.06,-0.1963640126636229,0.1431636868216749,0.2430116595839262
14,0.7666666666666666,0.03,-0.01813394772053072,-0.002977713346236476,0.0183768015906821
15,0.7333333333333334,0.06,-0.1474246204001188,0.0957976698040798,0.1758158475223739
16,0.8666666666666667,0.03,-0.007827781948926745,0.005847937443279723,0.009771005198056973
17,0.8333333333333334,0.06,-0.04610709364132089,0.02842704397296503,0.05416604945065147
18,0.9666666666666667,0.03,-0.003860883310066291,-0.0042898703445181,0.005771430282583709
19,0.9333333333333332,0.06,-0.03342223151831017,0.01940583735332766,0.03864753657152462
20,0.06666666666666667,0.12,-0.6913867102634952,0.00202545558510974,0.6913896770991779
21,0.03333333333333333,0.15,-0.9097452139097056,0.07502542574378757,0.9128335931261802
22,0.1666666666666667,0.12,-0.6458261744110745,0.07769108412254533,0.6504823995363596
23,0.1333333333333333,0.15,-0.8640218727683523,0.165704775529781,0.8797680769700079
24,0.2666666666666667,0.12,-0.5998262993667134,0.1043035116108632,0.6088274073547638
25,0.2333333333333333,0.15,-0.8186784435023825,0.2200268652988627,0.8477300368093179
26,0.3666666666666667,0.12,-0.525415822459559,0.08448607752044192,0.5321650907243399
27,0.3333333333333333,0.15,-0.7332060413054287,0.2177968986162564,0.7648703079958313
28,0.4666666666666666,0.12,-0.4394606139897737,0.03887836856195131,0.4411770152561303
29,0.4333333333333333,0.15,-0.6231586186474172,0.1703630580719501,0.6460264975604203
30,0.5666666666666668,0.12,-0.3468120750367538,-0.001035022570680424,0.3468136194889422
31,0.5333333333333333,0.15,-0.4919189774601427,0.1041888452829184,0.5028315780326652
32,0.6666666666666666,0.12,-0.2532879203720722,-0.0139051180309988,0.2536693180380024
33,0.6333333333333333,0.15,-0.3526383399780346,0.05122173255620638,0.3563389744450127
34,0.7666666666666666,0.12,-0.1847142915785165,-0.02985533957209969,0.1871114930043545
35,0.7333333333333334,0.15,-0.2663512148615048,0.02761021030252287,0.2677784408258982
36,0.8666666666666667,0.12,-0.06308198003840194,-0.006364084535334949,0.0634021906367456
37,0.8333333333333334,0.15,-0.08086913215735606,-0.003680050585245848,0.08095282149618929
38,0.9666666666666667,0.12,-0.04126466635416281,-0.003853452073040265,0.04144420082713134
39,0.9333333333333332,0.15,-0.05676768766445746,0.005379824459639533,0.05702203849377827
40,0.06666666666666667,0.21,-0.998594082676618,0.05300809412951812,1
41,0.03333333333333333,0.24,-0.9699603216176867,-0.001251367744371084,0.9699611288262627
42,0.1666666666666667,0.21,-0.9419949129352254,0.0982411633660059,0.9471038708480444
43,0.1333333333333333,0.24,-0.9297312842279667,0.07188299393641963,0.932505992307528
44,0.2666666666666667,0.21,-0.8774115314847601,0.094342034546612,0.8824689315011754
45,0.2333333333333333,0.24,-0.8828355597507542,0.1039487141887587,0.8889341712083768
46,0.3666666666666667,0.21,-0.7720332402044496,0.04531643950720702,0.7733620779881775
47,0.3333333333333333,0.24,-0.7907174233302406,0.08429201185887172,0.7951975772229385
48,0.4666666666666666,0.21,-0.6482895499675464,-0.02576057029764389,0.6488011618201556
49,0.4333333333333333,0.24,-0.6726957877870831,0.02510088351319742,0.6731639304505459
50,0.5666666666666668,0.21,-0.5123313638639132,-0.08180620798582867,0.5188214356247033
51,0.5333333333333333,0.24,-0.5295908654468707,-0.0452302272253239,0.5315188220746467
52,0.6666666666666666,0.21,-0.3747981380952484,-0.09468962397431199,0.386574403198222
53,0.6333333333333333,0.24,-0.377152788200537,-0.08978519561846297,0.387692670809863
