cell_id,xc_m,yc_m,Hx,Hy,Hmag
0,0.07973106073510837,0.01694736012815834,-0.3170022126635587,0.4393769465075482,0.5417956293251994
1,0.06594483600006079,0.04791172785638309,-0.3393947164414354,0.5466640376028828,0.6434518968475021
2,0.04075615003057523,0.07059172257385615,-0.1738547493681635,0.4251696285859523,0.4593415798180952
3,0.008520355462803922,0.08106576715264278,0.1893733762156259,0.311593616874783,0.3646270117481891
4,-0.02518868596948555,0.077522804131363,0.4942083244367064,0.3287275944088082,0.593551766291988
5,-0.05454237476562279,0.06057544400320466,0.5301112403954711,0.3216687559528534,0.6200715408320893
6,-0.07446519146286472,0.03315403929625969,0.386605696419703,0.09458017259278292,0.3980067506360214
7,-0.08151230006115047,1.040834085586084e-17,0.3055005564046999,-0.2831205035663502,0.4165186784566149
8,-0.07446519146286472,-0.03315403929625967,0.3391986877258345,-0.5304329839567089,0.6296148824671685
9,-0.05454237476562283,-0.06057544400320464,0.288597484203941,-0.5014414262466056,0.5785602923162581
10,-0.02518868596948561,-0.07752280413136299,0.004616230611807556,-0.3530989190063775,0.3531290928096037
11,0.008520355462803874,-0.08106576715264278,-0.3679106217509839,-0.3081126955979271,0.479887131298409
12,0.04075615003057523,-0.07059172257385615,-0.5475743441757164,-0.3441093097284902,0.6467216398430502
13,0.06594483600006081,-0.04791172785638309,-0.4649303950117913,-0.239172209438966,0.5228418670819475
14,0.07973106073510837,-0.01694736012815834,-0.3275445570021819,0.09170729501585942,0.3401406544076751
15,0.2011287881368834,0.03389472025631668,-0.7337945751475337,0.4382575210205603,0.8547070452775245
16,0.1558598488719918,0.05084208038447502,-0.463806696993879,0.2981671439988515,0.5513803568652077
17,0.1699540660685633,0.1127708158409245,-0.4568271432011732,0.6297456320264169,0.7779913880125514
18,0.121705719863299,0.1098404633128326,-0.05422115331154957,0.6045184732114982,0.6069452346961755
19,0.1093927419927696,0.1721478128759371,-0.08458955694089396,0.7733073920695271,0.7779201217174101
20,0.06650756622848752,0.149846432265119,0.1365884617420171,0.854710720635483,0.865555788987791
21,0.02991641902456399,0.201758889150917,0.2493266333793222,0.8174794554999405,0.8546557378715398
22,-0.0001903498095005227,0.1639425917666656,0.1872777020746828,0.7550774055442031,0.7779555424686803
23,-0.05473272457512331,0.1964840205697374,0.491127915127833,0.6805517764340239,0.8392600010874565
24,-0.06685535263615219,0.1496915877800662,0.3617333780933705,0.3516501481115814,0.5044887149319978
25,-0.1299180828645789,0.1572352798307609,0.6706702374196019,0.3670614118248808,0.764547348050688
26,-0.1219604576302017,0.1095575483609108,0.6866501060791823,-0.01760692361303383,0.6868758053226708
