ordered_rank,solver_index,dof_index,component_real,component_imag
1,0,0,-1.1231465859109,0
1,0,1,-1.092036811630181,0
1,0,2,-1.092036811630185,0
1,0,3,-1.092036811630185,0
1,0,4,-1.092036811630177,0
1,0,5,-1.092036811630167,0
1,0,6,-1.092036811630157,0
1,0,7,-1.092036811630147,0
1,0,8,-1.092036811630129,0
1,0,9,-1.092036811630136,0
1,0,10,-1.092036811630124,0
1,0,11,-1.092036811630144,0
1,0,12,-1.092036811630146,0
1,0,13,-1.092036811630163,0
1,0,14,-1.09203681163017,0
1,0,15,-1.092036811630174,0
1,0,16,-1.017325584023586,0
1,0,17,-1.017325584023608,0
1,0,18,-1.017325584023646,0
1,0,19,-1.017325584023589,0
1,0,20,-1.017325584023566,0
1,0,21,-1.017325584023562,0
1,0,22,-1.01732558402357,0
1,0,23,-1.017325584023531,0
1,0,24,-1.017325584023515,0
1,0,25,-1.017325584023482,0
1,0,26,-1.017325584023526,0
1,0,27,-1.017325584023566,0
1,0,28,-1.01732558402356,0
1,0,29,-1.017325584023624,0
1,0,30,-1.017325584023609,0
1,0,31,-0.898425532824385,0
1,0,32,-0.8984255328243138,0
1,0,33,-0.8984255328244254,0
1,0,34,-0.8984255328243859,0
1,0,35,-0.8984255328243422,0
1,0,36,-0.8984255328243228,0
1,0,37,-0.8984255328243071,0
1,0,38,-0.8984255328242686,0
1,0,39,-0.8984255328242611,0
1,0,40,-0.8984255328242686,0
1,0,41,-0.8984255328244236,0
1,0,42,-0.8984255328243608,0
1,0,43,-0.898425532824341,0
1,0,44,-0.8984255328243975,0
1,0,45,-0.8984255328244165,0
1,0,46,-0.7446761958271285,0
1,0,47,-0.7446761958270306,0
1,0,48,-0.7446761958271747,0
1,0,49,-0.7446761958271438,0
1,0,50,-0.7446761958270983,0
1,0,51,-0.7446761958269744,0
1,0,52,-0.7446761958269876,0
1,0,53,-0.7446761958270354,0
1,0,54,-0.7446761958269975,0
1,0,55,-0.7446761958269448,0
1,0,56,-0.7446761958271293,0
1,0,57,-0.7446761958271145,0
1,0,58,-0.7446761958270492,0
1,0,59,-0.7446761958271241,0
1,0,60,-0.7446761958271622,0
1,0,61,-0.5661667469749938,0
1,0,62,-0.5661667469749618,0
1,0,63,-0.566166746974879,0
1,0,64,-0.5661667469749623,0
1,0,65,-0.5661667469749477,0
1,0,66,-0.5661667469748226,0
1,0,67,-0.5661667469748705,0
1,0,68,-0.5661667469748682,0
1,0,69,-0.5661667469748942,0
1,0,70,-0.5661667469747684,0
1,0,71,-0.5661667469749794,0
1,0,72,-0.5661667469750113,0
1,0,73,-0.5661667469749351,0
1,0,74,-0.5661667469750111,0
1,0,75,-0.5661667469751059,0
1,0,76,-0.3837207366572752,0
1,0,77,-0.3837207366572886,0
1,0,78,-0.3837207366569953,0
1,0,79,-0.3837207366572439,0
1,0,80,-0.38372073665723,0
1,0,81,-0.3837207366568295,0
1,0,82,-0.3837207366568353,0
1,0,83,-0.3837207366571313,0
1,0,84,-0.3837207366570781,0
1,0,85,-0.383720736657042,0
1,0,86,-0.3837207366572881,0
1,0,87,-0.3837207366572818,0
1,0,88,-0.3837207366571478,0
